Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2018,14391.9141821,41653524167.24,79.184,2866376.0,298.606027225,855917149.8930866
Andorra,2018,61279.0341594,4605854765.54,,75162.0,2689.7301635705,202165498.5542859
Austria,2018,63118.8850544,558074950000.0,81.6926829268293,8840521.0,4536.45,40104581490.45
Belarus,2018,25572.662318,242429190000.0,74.1756097560976,9438785.0,290.7,2743854799.5
Belgium,2018,59018.2878387,674496290000.0,81.5951219512195,11427054.0,4400.436303711999,50284023266.077415
Bosnia and Herzegovina,2018,16019.6861589,54258677017.1,77.093,3387000.0,448.8,1520085600.0
Bulgaria,2018,25961.1342327,182370670000.0,74.9634146341464,7025037.0,586.5,4120184200.5
Croatia,2018,32037.4432691,128946950000.0,78.0707317073171,3988775.0,871.25,3475220218.75
Cyprus,2018,43435.8459802,55195536609.17,81.382,1270737.0,1717.85,2182935555.45
Czechia,2018,46039.7690083,485670270000.0,79.0292682926829,10629928.0,1490.2191284185,15840922039.311407
Denmark,2018,64757.6481012,375194060000.0,80.9536585365854,5793636.0,5298.05,30694973209.8
Estonia,2018,39462.912647,52168589310.92,78.2439024390244,1321977.0,1320.418450928,1745562822.5024445
Finland,2018,55402.2700601,305583950000.0,81.7341463414634,5515525.0,3843.7,21200023442.5
France,2018,52573.5972948,3444596100000.0,82.6756097560976,67158348.0,3966.9329833995,266412665791.82184
Germany,2018,60121.6825879,5012251900000.0,80.8926829268293,82905782.0,4684.532202149499,388374805523.3864
Greece,2018,31498.3372026,338003290000.0,81.7878048780488,10732882.0,1362.616198731,14624798872.268372
Hungary,2018,34725.5750818,339421430000.0,76.0658536585366,9775564.0,918.0,8973967752.0
Iceland,2018,63690.22687869999,22473351315.46,82.8609756097561,352721.0,5298.9,1869033306.9
Ireland,2018,88566.6838993,431546210000.0,82.2048780487805,4867316.0,4408.9989746115,21459991253.110146
Italy,2018,47818.5730794,2882384100000.0,83.3463414634146,60421760.0,2552.55,154229563487.99997
Latvia,2018,33676.635938600004,64914679316.67,74.7829268292683,1927174.0,935.85,1803545787.9
Lithuania,2018,40467.5215971,113409490000.0,75.6804878048781,2801543.0,1061.65,2974258125.95
Luxembourg,2018,128902.407794,78385683061.86,82.2951219512195,607950.0,5292.95,3217848952.5
North Macedonia,2018,20388.9048053,39141151442.46,76.6487804878049,1889051.0,328.95,621403326.4499999
Moldova,2018,13478.6392389,42508568495.3,70.492,2707203.0,234.6,635109823.8
Monaco,2018,197328.372058,7528866706.38,,38154.0,6671.1029785135,254529263.04220408
Montenegro,2018,23747.2923299,14623463882.17,76.8414634146342,622227.0,617.9499999999999,384505174.65
Netherlands,2018,64203.718097,1118507000000.0,81.8121951219512,17231624.0,4531.349999999999,78082519412.4
Norway,2018,84932.5054509,451140210000.0,82.7585365853659,5311916.0,7031.2,37349143779.2
Poland,2018,35649.2261538,1363267100000.0,77.6024390243903,37974750.0,832.15,31600688212.5
Portugal,2018,38071.6776922,393103170000.0,81.3243902439024,10283822.0,1883.6,19370607119.2
Romania,2018,34199.822394200004,670243810000.0,75.3585365853659,19473970.0,583.9499999999999,11371824781.499998
Russian Federation,2018,35801.1161743,5242365000000.0,72.6621951219512,145398106.0,517.65,75265329570.9
San Marino,2018,60941.3521625,2104243948.26,,34522.0,3410.7559448205,117746116.7270933
Serbia,2018,19242.7290403,135084140000.0,75.890243902439,6982604.0,524.5237731915,3662541796.7820606
Slovakia,2018,35309.2995963,192196770000.0,77.2658536585366,5446771.0,1105.0,6018681955.0
Slovenia,2018,42735.3569203,88440009172.36,81.3780487804878,2073894.0,1844.5,3825297483.0
Spain,2018,44473.5783933,2094385200000.0,83.4317073170732,46797754.0,2330.175183106,109046964995.89952
Sweden,2018,59418.1637718,604603910000.0,82.5585365853659,10175214.0,5104.25,51936836059.5
Switzerland,2018,77577.98801310001,660680580000.0,83.7536585365854,8514329.0,7830.567724611499,66672029864.1237
Ukraine,2018,16671.5661908,753703580000.0,71.5826829268293,45208907.0,187.85,8492493179.95
United Kingdom,2018,52206.8455619,3484938400000.0,81.2560975609756,66460344.0,3592.2743164105004,238743786811.0067
