Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2013,12278.1937781,35699744706.34,78.123,2895092.0,269.7012356603,780809889.7502491
Andorra,2013,58594.7520924,4405973788.43,,75194.0,2950.5863061481,221866386.70450023
Austria,2013,60581.7370106,513818700000.0,81.1365853658537,8479823.0,5077.95,43060117202.85
Belarus,2013,25344.4723012,239871300000.0,72.4707317073171,9443211.0,430.68,4067002113.48
Belgium,2013,55659.5249823,621175390000.0,80.5878048780488,11159407.0,4806.2765869177,53635196587.98549
Bosnia and Herzegovina,2013,12893.4905413,46556576364.63,76.33,3610859.0,459.78,1660200751.02
Bulgaria,2013,22123.4352052,160718330000.0,74.8609756097561,7265115.0,530.59,3854797367.85
Croatia,2013,27291.7189869,115782110000.0,77.1268292682927,4233922.0,863.3,3655144862.6
Cyprus,2013,36256.478125,42923863170.1,80.402,1183895.0,1858.52,2200292535.4
Czechia,2013,38801.1106015,407845230000.0,78.1756097560976,10514272.0,1468.5936169473,15441192746.047722
Denmark,2013,59340.4936893,333216340000.0,80.3,5614932.0,6143.98,34498029909.36
Estonia,2013,33309.0799011,43898669273.72,77.1414634146341,1317997.0,1159.0161987335,1527579872.8821568
Finland,2013,52266.037125,284277900000.0,80.9756097560976,5438972.0,4745.24,25809227493.28
France,2013,49747.7002815,3203143700000.0,82.219512195122,65997932.0,4738.2236035132,312712959185.4591
Germany,2013,56209.0714304,4555275200000.0,80.490243902439,80645605.0,4947.1477734375,398965725213.2701
Greece,2013,30060.4721071,329689420000.0,81.2853658536585,10965211.0,1777.0687731972998,19485934059.619537
Hungary,2013,28270.9317753,279581160000.0,75.5658536585366,9893082.0,961.27,9509922934.14
Iceland,2013,56238.0894557,18214673603.28,82.0609756097561,323764.0,3946.93,1277873844.52
Ireland,2013,57036.8059439,263776950000.0,80.9487804878049,4623816.0,5154.298188480199,23832526432.66576
Italy,2013,45796.681974,2777750200000.0,82.690243902439,60233948.0,3054.53,183986401184.44
Latvia,2013,27696.9088419,55754154461.38,73.9829268292683,2012647.0,782.79,1575479945.13
Lithuania,2013,32638.490751700003,96556405497.6,73.9146341463415,2957689.0,930.23,2751331038.4700003
Luxembourg,2013,127644.816956,69356321874.29,81.8,543360.0,6166.29,3350515334.4
North Macedonia,2013,17402.295805799997,35035694097.049995,75.4,1922716.0,335.62,645301943.92
Moldova,2013,10747.6615562,36635962353.38,69.099,2859558.0,225.04,643514932.3199999
Monaco,2013,188143.20305,6669112118.46,,35447.0,8206.9634960986,290912235.0462071
Montenegro,2013,19953.4784789,12634582478.17,76.490243902439,621207.0,578.12,359132190.84
Netherlands,2013,59140.7580017,1003445600000.0,81.3048780487805,16804432.0,5367.01,90189554588.32
Norway,2013,81754.54394029999,415322960000.0,81.7512195121951,5079623.0,8963.77,45532572258.71
Poland,2013,28630.4906575,1095382200000.0,77.0,38040196.0,851.66,32397313325.36
Portugal,2013,33600.4371036,351403840000.0,80.7219512195122,10457295.0,1970.07,20601603160.65
Romania,2013,26295.2938298,527560690000.0,75.0634146341463,19983693.0,480.15,9595170193.95
Russian Federation,2013,35530.054223600004,5137789300000.0,70.5787804878049,143805638.0,784.73,112848598307.74
San Marino,2013,59119.1005983,1987584161.89,,33041.0,4030.281796875,133164540.85054688
Serbia,2013,16979.1620566,123543080000.0,75.1853658536585,7166553.0,608.7070294194,4362331187.806689
Slovakia,2013,30131.5980458,163024990000.0,76.4121951219512,5413393.0,1328.9,7193857957.699999
Slovenia,2013,36254.9446908,74556154711.02,80.3219512195122,2059953.0,1993.35,4106207312.55
Spain,2013,39069.2322494,1830797400000.0,83.0780487804878,46620045.0,2550.5827929736,118908284584.6549
Sweden,2013,55006.1409848,528093220000.0,81.9560975609756,9600379.0,6496.09,62364926018.11
Switzerland,2013,73753.76866819999,596756610000.0,82.7975609756098,8089346.0,8844.6437695361,71547383698.52177
Ukraine,2013,17595.451411100003,811621310000.0,71.159512195122,46126770.0,272.57,12572773698.9
United Kingdom,2013,48344.0495789,3112846400000.0,81.0048780487805,64128273.0,4175.3436865198,267757579797.96817
