Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2014,12521.963576,36360639197.53,78.407,2889104.0,250.8550567615,724746347.9098766
Andorra,2014,59849.2299773,4413102671.51,,73737.0,2626.366564943,193660391.399202
Austria,2014,60507.6027333,517207880000.0,81.490243902439,8546356.0,4584.9,39184187624.4
Belarus,2014,25767.4981961,244087890000.0,72.9707317073171,9448515.0,372.3,3517682134.5
Belgium,2014,56287.6960026,630991790000.0,81.2878048780488,11209057.0,4318.10625,48401899088.30625
Bosnia and Herzegovina,2014,13212.0567579,47098723063.94,75.659,3564829.0,418.2,1490811487.8
Bulgaria,2014,22460.7884109,162244140000.0,74.4658536585366,7223938.0,514.25,3714910116.5
Croatia,2014,27309.4849831,115232120000.0,77.4780487804878,4201598.0,772.65,3246364694.7
Cyprus,2014,36006.6803882,43272864500.52,80.771,1201801.0,1592.9,1914348812.9
Czechia,2014,39637.0807157,416872050000.0,78.8243902439024,10525347.0,1288.6478332485,13563465605.7386
Denmark,2014,59996.4633673,338607600000.0,80.7,5643475.0,5496.95,31021899901.25
Estonia,2014,34402.24220759999,45220096069.74,77.0341463414634,1314545.0,1094.5970458995,1438897073.7019582
Finland,2014,51860.3960357,283244850000.0,81.1804878048781,5461512.0,4184.55,22853970039.6
France,2014,49988.7599479,3233892700000.0,82.719512195122,66312067.0,4233.6927001985,280744913992.9738
Germany,2014,57212.0334369,4655689600000.0,81.090243902439,80982500.0,4512.781567386,365456333280.83673
Greece,2014,30405.3294365,331210380000.0,81.3853658536585,10892413.0,1445.4202270545,15744114071.631388
Hungary,2014,29546.9029008,291416130000.0,75.7634146341463,9866468.0,855.1,8436816786.8
Iceland,2014,56554.2652722,18522200528.27,82.8609756097561,327386.0,3814.8,1248912112.8
Ireland,2014,61620.4877879,287043370000.0,81.3487804878049,4657740.0,4518.8291015625,21047531059.51172
Italy,2014,45376.3536782,2752714500000.0,83.090243902439,60789140.0,2680.9,162969605426.0
Latvia,2014,28490.8026744,56814905660.27,74.1243902439024,1993782.0,728.4499999999999,1452370497.9
Lithuania,2014,34084.7308854,99975960000.0,74.5170731707317,2932367.0,867.85,2544854700.9500003
Luxembourg,2014,127941.673428,71171266146.22,82.2292682926829,556319.0,5564.95,3095887419.05
North Macedonia,2014,18082.3649204,36125545351.23,75.4512195121951,1917557.0,288.15,552544049.55
Moldova,2014,11291.8872148,37745493031.58,69.031,2857815.0,196.35,561131975.25
Monaco,2014,189381.543268,6841976393.67,,36128.0,7380.0137695355,266625137.46577853
Montenegro,2014,20289.6933702,12810405149.59,76.4414634146341,621810.0,492.15,306023791.5
Netherlands,2014,59767.1185073,1017840400000.0,81.7073170731707,16865008.0,4761.7,80306108593.59999
Norway,2014,82493.4109726,423800760000.0,82.1,5137232.0,7750.3,39815089169.6
Poland,2014,29751.2900876,1138440500000.0,77.6024390243903,38011735.0,774.35,29434386997.25
Portugal,2014,34049.7152628,354328390000.0,81.1219512195122,10401062.0,1751.0,18212259562.0
Romania,2014,27481.5841485,548757130000.0,74.909756097561,19908979.0,427.55,8512083971.45
Russian Federation,2014,35131.4258948,5091442700000.0,70.7436585365854,144237223.0,629.0,90725213267.0
San Marino,2014,58521.0147779,1973621223.35,,32655.0,3537.2637939485,115509349.19138826
Serbia,2014,16787.9092324,121329540000.0,75.3365853658537,7131787.0,517.5297943090001,3690912259.165601
Slovakia,2014,30914.28897,167408420000.0,76.8121951219512,5418649.0,1095.65,5936942776.849999
Slovenia,2014,37221.9126648,76617622255.83,81.0780487804878,2061980.0,1752.7,3614032346.0
Spain,2014,39733.1562863,1856337500000.0,83.2292682926829,46480882.0,2277.555078125,105862768834.8289
Sweden,2014,55910.5761628,542133000000.0,82.2536585365854,9696110.0,5615.099999999999,54444627260.99999
Switzerland,2014,74571.4719849,610757590000.0,83.1975609756098,8188649.0,7911.7734375,64786735647.21094
Ukraine,2014,16737.6303882,769468990000.0,71.1865853658537,45972380.0,181.05,8323299398.999999
United Kingdom,2014,49522.9552003,3212349000000.0,81.3048780487805,64602298.0,3993.0962158235,257963191677.30203
