Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2021,15773.9504135,44950001198.37,76.463,2811666.0,395.0314300565,1110696440.821239
Andorra,2021,57064.9545679,4471838099.87,,78364.0,2980.092736818,233531987.22800577
Austria,2021,61518.56748229999,551640940000.0,81.190243902439,8955797.0,5529.25,49518840562.25
Belarus,2021,26782.8447067,247777770000.0,72.3706829268293,9302585.0,397.8,3700568313.0
Belgium,2021,60259.4664804,697252490000.0,81.790243902439,11586195.0,4828.1967285135,55940428794.91946
Bosnia and Herzegovina,2021,17844.575017299998,57903986394.95,75.3,3244907.0,588.1999999999999,1908654297.4
Bulgaria,2021,28522.8116947,196158250000.0,71.4634146341463,6877743.0,884.0,6079924812.0
Croatia,2021,36115.6178969,141739310000.0,76.4243902439025,3878981.0,1176.4,4563233248.4
Cyprus,2021,47012.8384375,61930435188.81,81.203,1317309.0,2541.5,3347940823.5
Czechia,2021,46965.5723163,494579720000.0,77.2219512195122,10505772.0,2123.739111326,22311518891.07357
Denmark,2021,67782.5667657,396987050000.0,81.4048780487805,5856733.0,6274.7,36749242555.1
Estonia,2021,43312.4392434,57681297648.76,76.9439024390244,1330932.0,1780.3276977555,2369495103.429123
Finland,2021,56055.2363562,310606610000.0,81.8853658536585,5541017.0,4664.8,25847736101.6
France,2021,52219.755321,3450862300000.0,82.3243902439024,67842811.0,4573.74375,310295632793.6812
Germany,2021,60081.4620423,5028644900000.0,80.790243902439,83196078.0,5632.1041503885,468568976199.8453
Greece,2021,32027.706787399995,338839430000.0,80.0829268292683,10569207.0,1568.9092895544998,16582127045.524446
Hungary,2021,37488.5581376,363933330000.0,74.1634146341463,9709891.0,1174.7,11406208957.7
Iceland,2021,60107.4242669,22398671009.64,83.1658536585366,372520.0,5708.599999999999,2126567672.0
Ireland,2021,110696.928165,556631590000.0,82.3536585365854,5033164.0,5749.619970701,28938780250.21333
Italy,2021,48404.5637758,2891172300000.0,82.6463414634146,59133173.0,2847.5,168381710117.5
Latvia,2021,35674.55606449999,67267479138.86,72.9804878048781,1884490.0,1613.3,3040247717.0
Lithuania,2021,45017.7656108,125801240000.0,74.0365853658537,2800839.0,1580.15,4425745745.849999
Luxembourg,2021,133808.923583,85674374707.89,82.5975609756098,640064.0,6490.599999999999,4154399398.4
North Macedonia,2021,21700.3518863,40169694981.54,73.2463414634146,1837114.0,476.0,874466264.0
Moldova,2021,15211.6082201,45996526276.38,68.846,2595809.0,348.5,904639436.5
Monaco,2021,203698.836,7847905054.96,,38527.0,7339.1208007855,282754307.091863
Montenegro,2021,23774.6383856,14356339164.38,73.8243902439024,619211.0,837.25,518434409.75
Netherlands,2021,65662.5266371,1164232800000.0,81.309756097561,17533044.0,5558.15,97451288508.6
Norway,2021,86532.86558659999,467977470000.0,83.1634146341463,5408320.0,7788.55,42122970736.0
Poland,2021,39248.8080487,1493033700000.0,75.5024390243902,36981559.0,985.15,36432382848.85
Portugal,2021,37619.5212132,390903210000.0,81.3780487804878,10361831.0,2334.95,24194357293.45
Romania,2021,36830.0792733,708910920000.0,72.809756097561,19122059.0,818.55,15652361394.45
Russian Federation,2021,37770.3412073,5508280800000.0,69.900243902439,144746762.0,795.6,115160523847.2
San Marino,2021,63746.3548035,2203838978.59,,34252.0,3512.1506103505003,120298182.70572534
Serbia,2021,21897.0035559,149675850000.0,72.780487804878,6834326.0,781.2927215535,5339609160.523846
Slovakia,2021,36657.0638168,199515420000.0,74.6146341463415,5447247.0,1432.25,7801819515.75
Slovenia,2021,45107.0349533,95333447739.42,80.6756097560976,2108079.0,2358.75,4972431341.25
Spain,2021,42311.9859382,2019792200000.0,83.2292682926829,47415794.0,2749.1490234375,130353083770.61368
Sweden,2021,61473.793310500005,640319310000.0,83.0560975609756,10415811.0,5865.849999999999,61097584954.34999
Switzerland,2021,79155.1110907,689205370000.0,83.7512195121951,8704546.0,9262.8326660135,80628753031.61716
Ukraine,2021,17499.135329,775188110000.0,69.6478048780488,44298640.0,312.8,13856614592.0
United Kingdom,2021,51256.3855523,3468458100000.0,80.7,67026292.0,4877.712133788,326934957771.2175
