Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2020,14350.0373033,41212647021.87,76.989,2837849.0,337.348211667,957343285.1309842
Andorra,2020,53602.5309543,4147763845.94,,77380.0,2778.902758788,215031495.47501543
Austria,2020,59275.1685058,528817810000.0,81.1926829268293,8916864.0,4731.95,42194154604.8
Belarus,2020,25929.5495195,242466050000.0,72.4572195121951,9379952.0,346.8,3252967353.6
Belgium,2020,56587.6253861,653027280000.0,80.6951219512195,11538604.0,4338.4215820355,50059328620.16115
Bosnia and Herzegovina,2020,16378.941984,54039845858.09,76.225,3299349.0,502.35,1657427970.15
Bulgaria,2020,26277.9858482,182202860000.0,73.6585365853659,6934015.0,728.4499999999999,5051083226.75
Croatia,2020,30617.5185079,121060850000.0,77.7243902439024,3914206.0,930.75,3643147234.5
Cyprus,2020,43173.8285132,56222988662.54,81.391,1302247.0,2007.7,2614521301.9
Czechia,2020,44539.7717171,469900010000.0,78.1756097560976,10697858.0,1801.3780639675,19270886732.63923
Denmark,2020,63715.9328196,371561410000.0,81.6024390243903,5831404.0,5475.7,31931018882.8
Estonia,2020,40427.641764,53755381993.57,78.5951219512195,1329522.0,1520.679571534,2021776945.3050268
Finland,2020,54621.30232149999,302034720000.0,81.9317073170732,5529543.0,4025.6,22259728300.8
France,2020,49202.7595389,3242719700000.0,82.1756097560976,67601110.0,4042.1243652365,273252093848.0328
Germany,2020,58263.5444963,4872504000000.0,81.0414634146342,83160871.0,5045.813745114,419614265947.4523
Greece,2020,29193.9201821,312356490000.0,81.2878048780488,10698599.0,1423.8495056155,15233194896.928482
Hungary,2020,34871.4213039,339977240000.0,75.5682926829269,9750149.0,997.05,9721386060.45
Iceland,2020,58109.0276382,21303583058.17,83.0634146341463,366463.0,4804.2,1760561544.6
Ireland,2020,97075.075575,483686620000.0,82.5560975609756,4985382.0,5183.526611326,25841860264.625637
Italy,2020,44460.8304593,2663775200000.0,82.1951219512195,59438851.0,2602.7,154701497497.69998
Latvia,2020,33143.82481319999,63010487660.13,75.1853658536585,1900449.0,1116.05,2120996106.45
Lithuania,2020,42446.0563021,118668830000.0,74.9780487804878,2794885.0,1292.0,3610991420.0
Luxembourg,2020,126768.814709,79940034220.61,82.1439024390244,630419.0,5768.099999999999,3636319833.9
North Macedonia,2020,20551.1072353,38471981016.03,74.3951219512195,1856124.0,385.05,714700546.2
Moldova,2020,13152.4822194,40366690911.9,70.166,2635130.0,260.95,687637173.5
Monaco,2020,201501.676002,7667138770.78,,38050.0,6640.444458010999,252668911.62731853
Montenegro,2020,20960.4970448,12742619770.61,75.9317073170732,621306.0,736.1,457343346.6
Netherlands,2020,62158.4053813,1096274600000.0,81.3585365853659,17441500.0,4979.3,86846460950.0
Norway,2020,83724.33683069999,450375850000.0,83.209756097561,5379475.0,6651.25,35780233093.75
Poland,2020,36556.279808,1395393500000.0,76.5,37899070.0,872.1,33051778947.0
Portugal,2020,35801.9646624,371284960000.0,80.9756097560976,10297081.0,1994.1,20533409222.1
Romania,2020,34582.0812746,670631810000.0,74.2536585365854,19265250.0,688.5,13264124625.0
Russian Federation,2020,35643.98375,5217251700000.0,71.3387804878049,145245148.0,655.35,95186407741.8
San Marino,2020,58319.6040167,2027714312.22,,34770.0,3266.357836913,113571261.989465
Serbia,2020,20135.6651108,139093150000.0,74.4780487804878,6899126.0,569.6652374245,3930192250.811541
Slovakia,2020,34913.5014462,190453680000.0,76.8658536585366,5458827.0,1184.9,6468164112.299999
Slovenia,2020,41789.7959636,87859661036.77,80.5317073170732,2102419.0,2054.45,4319314714.549999
Spain,2020,39807.812055,1898018400000.0,82.3317073170732,47365655.0,2464.1659790055,116716835624.31177
Sweden,2020,58262.688801100005,603233300000.0,82.3560975609756,10353442.0,5102.55,52828955477.1
Switzerland,2020,75682.6458916,653941990000.0,83.0,8638167.0,8572.637646486499,74051875620.83734
Ukraine,2020,16767.327170999997,749163980000.0,71.1851219512195,44680014.0,229.5,10254063213.0
United Kingdom,2020,47126.2478693,3174043700000.0,80.3512195121951,67081234.0,4170.3037841765,279749123997.42926
