Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2015,12837.1197382,37210086061.05,78.644,2880703.0,217.052900696,625264942.1936693
Andorra,2015,60601.7837872,4373873142.9,,72174.0,2284.9753540055,164915811.19999295
Austria,2015,60440.1124419,522446850000.0,81.190243902439,8642699.0,3921.05,33888454913.95
Belarus,2015,24747.789741,234789470000.0,73.6243902439025,9461076.0,300.05,2838795853.8
Belgium,2015,57104.9333313,643877270000.0,80.9926829268293,11274196.0,3776.0411621115,42571828165.71282
Bosnia and Herzegovina,2015,13964.9198523,49136143045.81,76.182,3518541.0,365.5,1286026735.5
Bulgaria,2015,23372.5642191,167756650000.0,74.6146341463415,7177991.0,442.85,3178773314.35
Croatia,2015,28237.3870025,118137270000.0,77.2756097560976,4151725.0,676.6,2809057135.0
Cyprus,2015,37450.3397302,45670764197.23,80.966,1219502.0,1356.6,1654376413.1999998
Czechia,2015,41690.8374657,438771740000.0,78.5780487804878,10546059.0,1117.6116882295,11786398803.157911
Denmark,2015,60969.7057572,346533470000.0,80.7024390243902,5683483.0,4702.2,26724873762.6
Estonia,2015,35016.7607495,46032193281.14,77.590243902439,1315407.0,982.7723449715,1292745621.9819255
Finland,2015,51970.8739335,284785210000.0,81.4804878048781,5479531.0,3508.8,19226578372.8
France,2015,50365.6873785,3269559600000.0,82.3219512195122,66548272.0,3571.5144775380004,237678116903.13675
Germany,2015,57565.0919514,4724802100000.0,80.6414634146341,81686611.0,3933.254223636,321294207730.2609
Greece,2015,30546.3045902,330538170000.0,81.0365853658537,10820883.0,1259.2067260705,13625728655.621931
Hungary,2015,30715.2709466,302214170000.0,75.5682926829269,9843028.0,740.35,7287285779.8
Iceland,2015,58451.177523,19344534104.08,82.4682926829268,330815.0,3629.5,1200693042.5
Ireland,2015,75980.95357089999,357299500000.0,81.4536585365854,4701957.0,3889.553100587,18288511428.176743
Italy,2015,45773.6133952,2772754700000.0,82.5439024390244,60730582.0,2274.6,138137781817.19998
Latvia,2015,29841.0338377,59021596074.14,74.4804878048781,1977527.0,659.6,1304376809.2
Lithuania,2015,35103.4938233,102002290000.0,74.3219512195122,2904910.0,782.0,2271639620.0
Luxembourg,2015,127793.931079,72783244342.45999,82.2926829268293,569604.0,4608.7,2625133954.8
North Macedonia,2015,18829.9424169,37290177737.88,75.4024390243902,1912430.0,257.55,492546346.5
Moldova,2015,11340.3473575,37277581575.9,69.24,2835978.0,158.1,448368121.8
Monaco,2015,191042.414225,7022146018.24,,36757.0,6245.7294433615,229574277.14963865
Montenegro,2015,20965.8239841,13169577504.25,76.4487804878049,622159.0,490.45,305137881.55
Netherlands,2015,60668.5657458,1037880600000.0,81.509756097561,16939923.0,3975.45,67343816890.35
Norway,2015,83193.614319,431755730000.0,82.3048780487805,5188607.0,6431.099999999999,33368450477.7
Poland,2015,31076.0805274,1189171500000.0,77.4512195121951,37986412.0,683.4,25959913960.8
Portugal,2015,34803.7403784,360924390000.0,81.1243902439025,10358076.0,1522.35,15768616998.599998
Romania,2015,28483.7148359,566000820000.0,74.9121951219512,19815616.0,375.7,7444726931.2
Russian Federation,2015,34331.7632007,4988671200000.0,71.1834146341463,144640716.0,424.15,61349359691.4
San Marino,2015,59539.2678741,2018440720.34,,32897.0,3030.124658201,99682010.88083827
Serbia,2015,17175.8804816,123275360000.0,75.2878048780488,7095383.0,417.564004517,2962776539.061845
Slovakia,2015,32480.8039821,176055000000.0,76.5634146341463,5423801.0,942.65,5112746012.65
Slovenia,2015,38015.952104,78310846494.86,80.7756097560976,2063531.0,1509.6,3115106397.6
Spain,2015,41290.3452722,1927584000000.0,82.8317073170732,46444832.0,1996.7296875,92737774885.35
Sweden,2015,57806.0432591,566469330000.0,82.2048780487805,9799186.0,4759.15,46635796051.9
Switzerland,2015,74939.95186009999,620798060000.0,82.8975609756098,8282396.0,7720.082666013501,63940781792.65955
Ukraine,2015,15156.9566644,693959340000.0,71.189512195122,45784896.0,134.29999999999998,6148911532.799999
United Kingdom,2015,50222.9615203,3283682800000.0,80.9560975609756,65116219.0,3768.779638674,245408680314.63705
