Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2003,7617.7574346,23752838044.94,76.142,3039616.0,90.348355482,274624306.89677495
Andorra,2003,55689.1902207,3869619071.64,,69486.0,1506.8063720735,104701947.56989922
Austria,2003,52801.3100037,428883560000.0,78.6317073170732,8121423.0,2627.35,21337820719.05
Belarus,2003,12875.4314208,126220280000.0,68.5536585365854,9796749.0,90.1,882687084.9
Belgium,2003,49565.2613623,514301760000.0,78.1292682926829,10376133.0,2392.6485229455,24826439296.336056
Bosnia and Herzegovina,2003,8537.285353790001,35673243209.27,75.782,4178523.0,142.79999999999998,596693084.4
Bulgaria,2003,14510.1647772,113243620000.0,72.0658536585366,7775327.0,166.6,1295369478.2
Croatia,2003,23873.1269767,102814180000.0,74.6139024390244,4303399.0,435.2,1872839244.8
Cyprus,2003,36864.6520715,36849537567.39,77.788,999590.0,973.25,972850967.5
Czechia,2003,30228.6875962,309811210000.0,75.1707317073171,10193998.0,544.5613403315,5551257214.21663
Denmark,2003,55404.4973547,298664940000.0,77.1439024390244,5390574.0,3065.95,16527230355.3
Estonia,2003,24566.6341609,33677170433.82,71.3170731707317,1370720.0,313.632620237,429902505.2112607
Finland,2003,47491.3901588,247570190000.0,78.3682926829268,5213014.0,2221.9,11582795806.6
France,2003,45996.4347918,2793871600000.0,79.1146341463415,62249855.0,2555.36002197,159070790840.4293
Germany,2003,47385.2101176,3890873700000.0,78.3804878048781,82534176.0,2679.8750610325,221181279945.2671
Greece,2003,34680.9037591,378662780000.0,78.8414634146341,10928070.0,1331.448321534,14550160459.106058
Hungary,2003,23934.7872674,241955830000.0,72.3,10129552.0,580.55,5880711413.599999
Iceland,2003,47121.2638541,13646553617.69,80.9634146341464,289521.0,3261.45,944258265.45
Ireland,2003,55318.3552728,220882580000.0,78.1390243902439,3996521.0,2474.2923095735,9888561175.348991
Italy,2003,48420.8226927,2795801900000.0,79.9829268292683,57313203.0,1838.55,105373189375.65
Latvia,2003,18284.0459333,41851888601.73,71.2658536585366,2287955.0,238.85,546478051.75
Lithuania,2003,19812.1003969,67663830629.34,72.0609756097561,3415213.0,288.15,984093625.95
Luxembourg,2003,110021.486125,49711888268.53,77.7268292682927,451630.0,3915.95,1768560498.5
North Macedonia,2003,11523.661488299998,23985475779.46,73.2414634146342,2022725.0,182.75,369652993.75
Moldova,2003,6463.5152951,26470803346.42,67.419,2903198.0,32.3,93773295.4
Monaco,2003,149683.443645,4845851805.67,,32374.0,4106.057397461999,132929502.18543476
Netherlands,2003,53454.4244285,874883740000.0,78.4926829268293,16225302.0,2757.4,44739647734.8
Norway,2003,76472.8642292,349072930000.0,79.390243902439,4564855.0,3938.05,17976627232.75
Poland,2003,19031.1569471,727057680000.0,74.5975609756098,38204570.0,288.15,11008646845.5
Portugal,2003,33158.793019,346649870000.0,77.219512195122,10458821.0,1226.55,12828266897.55
Romania,2003,16321.3975779,352434950000.0,71.309756097561,21574326.0,122.4,2640697502.4
Russian Federation,2003,22533.489261,3285254200000.0,65.0275609756098,144648618.0,139.4,20164017349.2
San Marino,2003,81745.65760539999,2276044344.93,,27843.0,2074.2496459945,57753332.89342486
Serbia,2003,11332.0196941,86020624941.77,72.4365853658537,7480591.0,195.575355526,1463019244.369596
Slovakia,2003,19885.8214251,106910490000.0,73.6048780487805,5373374.0,292.4,1571174557.6
Slovenia,2003,31671.870901,63105886049.48,76.8585365853659,1995733.0,1022.55,2040736779.15
Spain,2003,39701.4067507,1687567200000.0,79.619512195122,42187645.0,1394.7800659185,58842486274.04628
Sweden,2003,47576.391317,426210240000.0,80.0951219512195,8958229.0,2643.5,23681078361.5
Switzerland,2003,63816.94663110001,467997840000.0,80.5365853658537,7339001.0,4265.7482421875,31306330615.162308
Ukraine,2003,12420.6170642,600104080000.0,68.2107317073171,48315136.0,58.65,2833682726.4
United Kingdom,2003,45329.5951095,2711635000000.0,78.4463414634146,59647577.0,2366.858618163,141177381674.99112
