Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2007,77.549,2970017,180.7193176235,536739445.57019454
Andorra,2007,..,81877,2116.016479489,173253081.29112086
Austria,2007,80.1804878048781,8295487,3807.15,31582163332.05
Belarus,2007,70.2073170731707,9560953,230.35,2202365523.5499997
Belgium,2007,79.7829268292683,10625700,3455.1449951140003,36713334174.58283
Bosnia and Herzegovina,2007,76.161,4013424,309.4,1241753385.6
Bulgaria,2007,72.6634146341463,7545338,306.84999999999997,2315286965.2999997
Croatia,2007,75.7056097560976,4310217,884.85,3813895512.4500003
Cyprus,2007,78.81,1072714,1439.8999999999999,1544600888.6
Czechia,2007,76.7243902439025,10298828,943.6501403789999,9718490487.939175
Denmark,2007,78.1951219512195,5461438,4647.8,25383671536.4
Estonia,2007,72.8146341463415,1340680,736.524533078,987443711.0070131
Finland,2007,79.2634146341464,5288720,3331.15,17617519628.0
France,2007,81.1121951219512,64016890,3665.463964848,234651603436.6383
Germany,2007,79.5341463414634,82266372,3555.4786132855,292496326238.5891
Greece,2007,79.4390243902439,11048473,2062.7455932579996,22790188992.979992
Hungary,2007,73.1512195121951,10055780,852.55,8573055239.0
Iceland,2007,81.4536585365854,311566,4930.0,1536020380.0
Ireland,2007,79.6414634146341,4398942,4129.8482666005,18166962993.576138
Italy,2007,81.4341463414634,58438310,2629.0499999999997,153637238905.49997
Latvia,2007,71.019512195122,2200325,658.75,1449464093.75
Lithuania,2007,70.9,3231294,598.4,1933606329.6
Luxembourg,2007,79.3829268292683,479993,5670.349999999999,2721728307.5499997
Moldova,2007,68.947,2874299,114.75,329825810.25
Monaco,2007,..,31837,5974.171875,190199709.984375
Netherlands,2007,80.0975609756098,16381696,3991.6,65389177753.6
North Macedonia,2007,73.8,1982933,223.54999999999998,443284672.15
Norway,2007,80.3951219512195,4709153,5861.599999999999,27603171224.8
Poland,2007,75.2439024390244,38120560,561.85,21418036636.0
Portugal,2007,78.3219512195122,10542964,1796.05,18935690492.2
Romania,2007,72.5658536585366,20882982,352.75,7366471900.5
Russian Federation,2007,67.5868292682927,142805114,392.7,56079568267.799995
San Marino,2007,..,31211,3121.391955568,97421764.32523285
Serbia,2007,73.6317073170732,7381579,465.1431488065,3433490899.2239356
Slovakia,2007,74.2073170731707,5374622,874.65,4700913132.3
Slovenia,2007,78.5609756097561,2018122,1526.6,3080865045.2
Spain,2007,80.8731707317073,45226803,2215.3361572255,100192571961.61472
Sweden,2007,80.9,9148092,3663.5,33514035042.0
Switzerland,2007,81.7414634146342,7551117,5231.49765625,39503650887.56953
Ukraine,2007,68.2221951219512,47062798,158.1,7440628363.8
United Kingdom,2007,79.4487804878049,61322463,3712.4052978505,227653836518.44128
