Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2020,76.989,2837849.0,384.9738415494,1092497631.2671232
Andorra,2020,,77380.0,3171.2184423815997,245388883.0714882
Austria,2020,81.1926829268293,8916864.0,5399.99,48150976431.36
Belarus,2020,72.4572195121951,9379952.0,395.76,3712209803.52
Belgium,2020,80.6951219512195,11538604.0,4950.9046289111,57126527954.77213
Bosnia and Herzegovina,2020,76.225,3299349.0,573.27,1891417801.23
Bulgaria,2020,73.6585365853659,6934015.0,831.29,5764177329.349999
Croatia,2020,77.7243902439024,3914206.0,1062.1499999999999,4157473902.8999996
Cyprus,2020,81.391,1302247.0,2291.14,2983630191.58
Czechia,2020,78.1756097560976,10697858.0,2055.6902612334998,21991482506.658886
Denmark,2020,81.6024390243903,5831404.0,6248.74,36438927430.96
Estonia,2020,78.5951219512195,1329522.0,1735.3637463388,2307204278.759854
Finland,2020,81.9317073170732,5529543.0,4593.92,25402278178.56
France,2020,82.1756097560976,67601110.0,4612.7772167993,311828860038.3433
Germany,2020,81.0414634146342,83160871.0,5758.1639208948,478853927022.38666
Greece,2020,81.2878048780488,10698599.0,1624.8635534670998,17383763588.25956
Hungary,2020,75.5682926829269,9750149.0,1137.81,11093817033.689999
Iceland,2020,83.0634146341463,366463.0,5482.44,2009111409.7199998
Ireland,2020,82.5560975609756,4985382.0,5915.318603513199,29490122890.21984
Italy,2020,82.1951219512195,59438851.0,2970.14,176541708909.13998
Latvia,2020,75.1853658536585,1900449.0,1273.61,2420430850.89
Lithuania,2020,74.9780487804878,2794885.0,1474.3999999999999,4120778443.9999995
Luxembourg,2020,82.1439024390244,630419.0,6582.42,4149682633.98
Moldova,2020,70.166,2635130.0,297.78999999999996,784715362.6999999
Monaco,2020,,38050.0,7577.9189697302,288339816.7982341
Montenegro,2020,75.9317073170732,621306.0,840.02,521909466.12
Netherlands,2020,81.3585365853659,17441500.0,5682.26,99107137790.0
North Macedonia,2020,74.3951219512195,1856124.0,439.40999999999997,815599446.8399999
Norway,2020,83.209756097561,5379475.0,7590.25,40831560118.75
Poland,2020,76.5,37899070.0,995.22,37717912445.4
Portugal,2020,80.9756097560976,10297081.0,2275.62,23432243465.219997
Romania,2020,74.2536585365854,19265250.0,785.6999999999999,15136706924.999998
Russian Federation,2020,71.3387804878049,145245148.0,747.87,108624488834.76
San Marino,2020,,34770.0,3727.4907080066,129604851.91738948
Serbia,2020,74.4780487804878,6899126.0,650.0885650608999,4485042921.514346
Slovakia,2020,76.8658536585366,5458827.0,1352.18,7381316692.860001
Slovenia,2020,80.5317073170732,2102419.0,2344.49,4929100321.309999
Spain,2020,82.3317073170732,47365655.0,2812.0482348651,133194506535.9793
Sweden,2020,82.3560975609756,10353442.0,5822.91,60287160956.22
Switzerland,2020,83.0,8638167.0,9782.892373049299,84506258061.42615
Ukraine,2020,71.1851219512195,44680014.0,261.9,11701695666.599998
United Kingdom,2020,80.3512195121951,67081234.0,4759.0525537073,319243117973.5369
