Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2019,79.282,2854191,312.59463348049997,892204789.5283417
Andorra,2019,..,76474,2572.6078002934996,196737608.9196451
Austria,2019,81.8951219512195,8879920,4473.55,39724766116.0
Belarus,2019,74.2268292682927,9419758,331.5,3122649777.0
Belgium,2019,81.9951219512195,11488980,4292.140576174,49312317236.85156
Bosnia and Herzegovina,2019,77.241,3345533,462.4,1546974459.1999998
Bulgaria,2019,75.1121951219512,6975761,593.3,4138719001.2999997
Croatia,2019,78.4243902439025,3949390,884.0,3491260760.0
Cyprus,2019,81.397,1286671,1779.05,2289052042.5499997
Czechia,2019,79.2292682926829,10671870,1532.5946166955,16355650512.074205
Denmark,2019,81.4512195121951,5814422,5150.15,29945145463.3
Estonia,2019,78.6463414634147,1326898,1359.44779053,1803848554.358676
Finland,2019,81.9829268292683,5521606,3791.0,20932408346.0
France,2019,82.8268292682927,67382061,3828.812133788,257993252756.44318
Germany,2019,81.2926829268293,83092962,4663.940454100501,387540626922.83563
Greece,2019,81.6390243902439,10721582,1333.6746948205,14299102601.842966
Hungary,2019,76.3195121951219,9771141,895.9,8753965221.9
Iceland,2019,83.1634146341463,360563,4985.25,1797496695.75
Ireland,2019,82.7024390243903,4934340,4643.321313475501,22911726089.9347
Italy,2019,83.4975609756098,59729081,2474.35,147790651572.35
Latvia,2019,75.3878048780488,1913822,1005.55,1924443712.1
Lithuania,2019,76.2829268292683,2794137,1164.5,3253772536.5
Luxembourg,2019,82.6390243902439,620001,5288.7,3278999288.7
Moldova,2019,70.935,2664224,241.4,643143673.6
Monaco,2019,..,38109,6571.0129882855,250414733.9705721
Montenegro,2019,76.6829268292683,622028,622.1999999999999,387025821.59999996
Netherlands,2019,82.1121951219512,17344874,4539.849999999999,78743126228.9
North Macedonia,2019,76.6024390243903,1876262,357.84999999999997,671420356.6999999
Norway,2019,82.9585365853659,5347896,6805.95,36397512781.2
Poland,2019,77.9048780487805,37965475,861.9,32722442902.5
Portugal,2019,81.6756097560976,10286263,1888.7,19427664928.100002
Romania,2019,75.6073170731707,19371648,628.15,12168300691.199999
Russian Federation,2019,73.0839024390244,145453291,555.9,80857484466.9
San Marino,2019,..,34663,3275.9809326140003,113555327.0671991
Serbia,2019,75.9365853658537,6945235,544.8752136265,3784286404.3112445
Slovakia,2019,77.6658536585366,5454147,1140.7,6221545482.900001
Slovenia,2019,81.5292682926829,2088385,1886.1499999999999,3939007367.7499995
Spain,2019,83.8317073170732,47134837,2309.3084716765,108848878395.19095
Sweden,2019,83.109756097561,10278887,4805.05,49390565979.35
Switzerland,2019,83.9048780487805,8575280,7939.903125,68086892469.75
Ukraine,2019,71.8273170731707,44957458,209.95,9438818307.1
United Kingdom,2019,81.4048780487805,66836327,3628.3756591765,242507302035.5611
