Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2015,78.644,2880703,217.052900696,625264942.1936693
Andorra,2015,..,72174,2284.9753540055,164915811.19999295
Austria,2015,81.190243902439,8642699,3921.0499999999997,33888454913.949997
Belarus,2015,73.6243902439025,9461076,300.05,2838795853.8
Belgium,2015,80.9926829268293,11274196,3776.0411621115,42571828165.71282
Bosnia and Herzegovina,2015,76.182,3518541,365.5,1286026735.5
Bulgaria,2015,74.6146341463415,7177991,442.84999999999997,3178773314.35
Croatia,2015,77.2756097560976,4151725,676.6,2809057135.0
Cyprus,2015,80.966,1219502,1356.6,1654376413.1999998
Czechia,2015,78.5780487804878,10546059,1117.6116882295,11786398803.157913
Denmark,2015,80.7024390243902,5683483,4702.2,26724873762.6
Estonia,2015,77.590243902439,1315407,982.7723449714999,1292745621.9819257
Finland,2015,81.4804878048781,5479531,3508.7999999999997,19226578372.8
France,2015,82.3219512195122,66548272,3571.5144775380004,237678116903.13675
Germany,2015,80.6414634146341,81686611,3933.2542236359996,321294207730.2609
Greece,2015,81.0365853658537,10820883,1259.2067260705,13625728655.621931
Hungary,2015,75.5682926829269,9843028,740.35,7287285779.8
Iceland,2015,82.4682926829268,330815,3629.5,1200693042.5
Ireland,2015,81.4536585365854,4701957,3889.553100587,18288511428.176746
Italy,2015,82.5439024390244,60730582,2274.6,138137781817.19998
Latvia,2015,74.4804878048781,1977527,659.6,1304376809.2
Lithuania,2015,74.3219512195122,2904910,782.0,2271639620.0
Luxembourg,2015,82.2926829268293,569604,4608.7,2625133954.7999997
Moldova,2015,69.24,2835978,158.1,448368121.8
Monaco,2015,..,36757,6245.7294433615,229574277.14963865
Montenegro,2015,76.4487804878049,622159,490.45,305137881.55
Netherlands,2015,81.509756097561,16939923,3975.45,67343816890.35
North Macedonia,2015,75.4024390243902,1912430,257.55,492546346.5
Norway,2015,82.3048780487805,5188607,6431.099999999999,33368450477.699997
Poland,2015,77.4512195121951,37986412,683.4,25959913960.8
Portugal,2015,81.1243902439025,10358076,1522.35,15768616998.599998
Romania,2015,74.9121951219512,19815616,375.7,7444726931.2
Russian Federation,2015,71.1834146341463,144640716,424.15,61349359691.399994
San Marino,2015,..,32897,3030.124658201,99682010.88083829
Serbia,2015,75.2878048780488,7095383,417.564004517,2962776539.061845
Slovakia,2015,76.5634146341463,5423801,942.65,5112746012.65
Slovenia,2015,80.7756097560976,2063531,1509.6,3115106397.6
Spain,2015,82.8317073170732,46444832,1996.7296875,92737774885.34999
Sweden,2015,82.2048780487805,9799186,4759.15,46635796051.899994
Switzerland,2015,82.8975609756098,8282396,7720.082666013501,63940781792.65955
Ukraine,2015,71.189512195122,45784896,134.29999999999998,6148911532.799999
United Kingdom,2015,80.9560975609756,65116219,3768.779638674,245408680314.63705
