Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2004,76.376,3026939,117.396392822,355351719.8922318
Andorra,2004,..,74325,1691.563604735,125725464.92192887
Austria,2004,79.1804878048781,8171966,3055.75,24971485104.5
Belarus,2004,68.9560975609756,9730146,116.45,1133075501.7
Belgium,2004,78.8780487804878,10421137,2815.830029299,29344150504.038895
Bosnia and Herzegovina,2004,76.133,4140987,188.7,781404246.9
Bulgaria,2004,72.5634146341463,7716860,198.04999999999998,1528324122.9999998
Croatia,2004,75.520243902439,4304600,539.75,2323407850.0
Cyprus,2004,77.944,1017875,1093.95,1113504356.25
Czechia,2004,75.7219512195122,10197101,634.379580691,6468832656.643777
Denmark,2004,77.4926829268293,5404523,3565.75,19271177887.25
Estonia,2004,71.909756097561,1362550,403.3317703265,549559703.6583726
Finland,2004,78.7146341463415,5228172,2587.4,13527372232.800001
France,2004,80.1634146341463,62707588,2939.8333251985,184349856945.21756
Germany,2004,78.6804878048781,82516260,2940.8512084945,242668042941.44638
Greece,2004,79.0390243902439,10955141,1515.2915344225,16600232415.704842
Hungary,2004,72.6487804878049,10107146,678.3,6855677131.799999
Iceland,2004,80.9975609756098,292074,3749.35,1095087651.8999999
Ireland,2004,78.5390243902439,4070262,2960.6865478504997,12050769949.627071
Italy,2004,80.7804878048781,57685327,2181.1,125817466719.7
Latvia,2004,72.0268292682927,2263122,334.05,755995904.1
Lithuania,2004,71.9609756097561,3377075,311.95,1053478546.25
Luxembourg,2004,79.1219512195122,458095,4768.5,2184426007.5
Moldova,2004,67.861,2896023,55.25,160005270.75
Monaco,2004,..,32307,4831.1443359375,156079780.06113282
Netherlands,2004,79.0951219512195,16281779,3135.65,51053960321.35
North Macedonia,2004,73.5975609756098,2016186,197.2,397591879.2
Norway,2004,79.8414634146342,4591910,4332.45,19894220479.5
Poland,2004,74.8463414634146,38182222,333.2,12722316370.4
Portugal,2004,77.6707317073171,10483861,1465.3999999999999,15363049909.399998
Romania,2004,71.5609756097561,21451748,162.35,3482691287.7999997
Russian Federation,2004,65.4709756097561,144067316,177.65,25593558687.4
San Marino,2004,..,29457,2438.1071289105,71819321.6963166
Serbia,2004,72.6829268292683,7463157,233.2870239295,1741057685.6486156
Slovakia,2004,73.9585365853659,5372280,435.2,2338016256.0
Slovenia,2004,77.2073170731707,1997012,1163.6499999999999,2323823013.7999997
Spain,2004,79.8707317073171,42921895,1635.630242917,70204349545.30797
Sweden,2004,80.4975609756098,8993531,2964.7999999999997,26664020708.8
Switzerland,2004,81.0878048780488,7389625,4767.39765625,35229280905.56641
Ukraine,2004,68.1853658536585,47979507,72.25,3466519380.75
United Kingdom,2004,78.7463414634146,59987905,2861.3903198205,171648810673.31177
