Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2009,77.781,2927519.0,203.52728348199997,595829989.411941
Andorra,2009,,83888.0,2571.5125122065,215719041.62397888
Austria,2009,80.3317073170732,8343323.0,4189.65,34955603206.95
Belarus,2009,70.4073170731707,9504583.0,238.85,2270169649.5499997
Belgium,2009,80.0341463414634,10796493.0,3942.673120114,42567042742.59896
Bosnia and Herzegovina,2009,76.976,3879794.0,348.5,1352108209.0
Bulgaria,2009,73.4121951219512,7444443.0,390.15,2904449436.45
Croatia,2009,76.1682926829268,4305181.0,1009.8,4347371773.8
Cyprus,2009,79.401,1109371.0,1789.25,1984942061.75
Czechia,2009,77.0780487804878,10443936.0,1225.9063781725,12803287755.625385
Denmark,2009,78.5975609756098,5523095.0,5288.7,29209992526.5
Estonia,2009,74.8243902439024,1334515.0,855.531018068,1141718976.577017
Finland,2009,79.719512195122,5338871.0,3697.5,19740475522.5
France,2009,81.4146341463415,64706436.0,4026.94140625,260569026379.26562
Germany,2009,79.8365853658537,81902307.0,3973.6815185515,325453683652.63116
Greece,2009,80.1878048780488,11107017.0,2387.7006347634997,26520231541.22898
Hungary,2009,73.9048780487805,10022650.0,802.4,8042174360.0
Iceland,2009,81.7512195121951,318499.0,3077.85,980292147.15
Ireland,2009,80.190243902439,4535375.0,4677.4545410135,21214010388.9491
Italy,2009,81.6365853658537,59095365.0,2837.2999999999997,167671279114.49997
Latvia,2009,73.0804878048781,2141669.0,633.25,1356211894.25
Lithuania,2009,72.9146341463415,3162916.0,735.25,2325533989.0
Luxembourg,2009,80.6365853658537,497783.0,6520.349999999999,3245719384.0499997
Moldova,2009,69.573,2865213.0,177.65,509005089.45
Monaco,2009,,32364.0,6925.687939451,224142964.47239214
Netherlands,2009,80.5487804878049,16530388.0,4490.55,74230533833.40001
North Macedonia,2009,74.4463414634146,1958782.0,249.9,489499621.8
Norway,2009,80.7951219512195,4828726.0,6206.7,29970453664.2
Poland,2009,75.6951219512195,38151603.0,646.0,24645935538.0
Portugal,2009,78.7268292682927,10568247.0,1994.95,21083124352.65
Romania,2009,73.309756097561,20367487.0,381.65,7773251413.549999
Russian Federation,2009,68.6846341463415,142785348.0,438.59999999999997,62625653632.799995
San Marino,2009,,33066.0,3493.565161136,115518225.61812298
Serbia,2009,73.9853658536585,7320807.0,488.9728241,3579675673.481049
Slovakia,2009,74.909756097561,5386406.0,1122.0,6043547532.0
Slovenia,2009,78.9707317073171,2039669.0,1806.25,3684152131.25
Spain,2009,81.4756097560976,46362946.0,2497.060522462,115771082161.63748
Sweden,2009,81.3512195121951,9298515.0,3515.6,32689859334.0
Switzerland,2009,82.0439024390244,7743831.0,6202.7729003885,48033225071.98837
Ukraine,2009,69.19,46623731.0,143.65,6697498958.150001
United Kingdom,2009,80.0512195121951,62276270.0,3327.0664306629997,207197287343.90524
