Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2008,77.653,2947314.0,204.3538208045,602294877.0105941
Andorra,2008,,83495.0,2589.4077514675,216202600.20877892
Austria,2008,80.4317073170732,8321496.0,4299.3,35776607752.8
Belarus,2008,70.4560975609756,9527985.0,289.0,2753587665.0
Belgium,2008,79.6804878048781,10709973.0,3955.479980473,42363083792.90636
Bosnia and Herzegovina,2008,76.838,3947544.0,391.0,1543489704.0
Bulgaria,2008,72.9634146341463,7492561.0,387.59999999999997,2904116643.6
Croatia,2008,75.9121951219512,4309705.0,1070.1499999999999,4612030805.749999
Cyprus,2008,78.981,1091026.0,1831.75,1998486875.5
Czechia,2008,76.9756097560976,10384603.0,1231.9362731914998,12793169118.393269
Denmark,2008,78.4463414634146,5493621.0,5217.3,28661868843.3
Estonia,2008,73.7707317073171,1337090.0,919.8315673860001,1229897590.4361467
Finland,2008,79.5682926829268,5313399.0,3813.1,20260521726.899998
France,2008,81.2146341463415,64375116.0,4086.2683349619997,263053998070.30557
Germany,2008,79.7365853658537,82110097.0,3969.2962158234996,325919297303.0005
Greece,2008,79.9390243902439,11077841.0,2414.432263182,26746696716.80035
Hungary,2008,73.7024390243903,10038188.0,949.4499999999999,9530757596.599998
Iceland,2008,81.609756097561,317414.0,4034.95,1280749619.3
Ireland,2008,80.0951219512195,4489544.0,4792.962402348,21518215595.68705
Italy,2008,81.4853658536585,58826731.0,2978.4,175209535610.4
Latvia,2008,72.419512195122,2177322.0,776.9,1691561461.8
Lithuania,2008,71.8121951219512,3198231.0,796.4499999999999,2547231079.95
Luxembourg,2008,80.5390243902439,488650.0,6442.15,3147956597.5
Moldova,2008,69.394,2868833.0,158.1,453562497.3
Monaco,2008,,31836.0,7055.7703125,224627503.66875
Netherlands,2008,80.2512195121951,16445593.0,4574.7,75233654297.09999
North Macedonia,2008,74.4,1971493.0,264.34999999999997,521164174.54999995
Norway,2008,80.5926829268293,4768212.0,6602.8,31483550193.600002
Poland,2008,75.5439024390244,38125759.0,759.05,28939357368.949997
Portugal,2008,78.5243902439025,10558177.0,2033.2,21466885476.4
Romania,2008,72.5658536585366,20537875.0,442.84999999999997,9095197943.75
Russian Federation,2008,67.9492682926829,142742366.0,518.5,74011916771.0
San Marino,2008,,31662.0,3600.4709228505003,113998110.35929254
Serbia,2008,73.8853658536585,7350222.0,571.1039703405,4197740967.0840907
Slovakia,2008,74.7048780487805,5379233.0,1064.2,5724579758.6
Slovenia,2008,78.7658536585366,2021316.0,1852.1499999999999,3743780429.3999996
Spain,2008,81.1756097560976,45954106.0,2545.9081298859996,116994932067.043
Sweden,2008,81.1,9219637.0,3933.7999999999997,36268208030.6
Switzerland,2008,81.9926829268293,7647675.0,6052.5549072255,46287972850.115776
Ukraine,2008,68.2514634146342,46819175.0,183.6,8596000530.0
United Kingdom,2008,79.6,61806995.0,3652.8538330109996,225771918592.6417
