Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2000,75.404,3089027.0,63.195619891999996,195212976.12812507
Andorra,2000,,65685.0,1248.3927233914,82000676.03596412
Austria,2000,78.1268292682927,8011566.0,2200.93,17632895956.379997
Belarus,2000,68.9121951219512,9979610.0,54.32,542092415.2
Belgium,2000,77.7219512195122,10251250.0,1794.4185351611,18395033008.570225
Bosnia and Herzegovina,2000,74.496,4159771.0,102.82,427707654.21999997
Bulgaria,2000,71.6634146341463,8170172.0,92.14999999999999,752881349.8
Croatia,2000,72.8078048780488,4468302.0,359.87,1608007840.74
Cyprus,2000,76.568,947667.0,728.47,690346979.49
Czechia,2000,74.9682926829268,10255063.0,332.6334490938,3411176976.3642116
Denmark,2000,76.5926829268293,5339616.0,2421.12,12927851089.92
Estonia,2000,70.4170731707317,1396985.0,203.6783609005,284535615.002585
Finland,2000,77.4658536585366,5176209.0,1675.19,8671133554.710001
France,2000,79.0560975609756,60918661.0,2096.9974365198,127746275953.21872
Germany,2000,77.9268292682927,82211508.0,2274.0785620099,186955427893.3054
Greece,2000,77.8878048780488,10805808.0,858.8482067862,9280548823.675974
Hungary,2000,71.2463414634146,10210971.0,303.61,3100152905.31
Iceland,2000,79.6536585365854,281205.0,2768.38,778482297.9
Ireland,2000,76.5365853658537,3805174.0,1517.8922802697998,5775844239.683355
Italy,2000,79.7780487804878,56942108.0,1478.28,84176379414.24
Latvia,2000,70.3146341463415,2367550.0,176.54,417967277.0
Lithuania,2000,72.0195121951219,3499536.0,210.48999999999998,736617332.64
Luxembourg,2000,77.8731707317073,436300.0,2813.97,1227735111.0
Moldova,2000,66.417,2924668.0,20.37,59575487.160000004
Monaco,2000,,32455.0,2878.4034814440997,93418584.99026826
Netherlands,2000,77.9878048780488,15925513.0,1967.1599999999999,31328032153.079998
North Macedonia,2000,72.9463414634147,2026350.0,159.07999999999998,322351757.99999994
Norway,2000,78.6341463414634,4490967.0,2860.5299999999997,12846545832.509998
Poland,2000,73.7487804878049,38258629.0,230.85999999999999,8832387090.939999
Portugal,2000,76.3146341463415,10289898.0,965.15,9931295054.699999
Romania,2000,71.1634146341463,22442971.0,67.89999999999999,1523877730.8999999
Russian Federation,2000,65.4836585365854,146596869.0,92.14999999999999,13508901478.349998
Serbia,2000,71.5829268292683,7516346.0,54.7848854107,411782154.3171733
Slovakia,2000,73.0512195121951,5388720.0,197.88,1066319913.6
Slovenia,2000,75.4121951219512,1988925.0,773.09,1537618028.25
Spain,2000,78.9658536585366,40567864.0,975.1254766825999,39558757720.99489
Sweden,2000,79.6439024390244,8872109.0,2107.81,18700720071.29
Switzerland,2000,79.6804878048781,7184250.0,3453.0252294934,24807396504.987957
Ukraine,2000,67.6756097560976,49556660.0,33.949999999999996,1682448606.9999998
United Kingdom,2000,77.7414634146342,58892514.0,1959.9124707007,115424172619.51556
