Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2003,76.142,3039616.0,103.1034174324,313394797.28220195
Andorra,2003,,69486.0,1719.5319775427001,119483398.99153206
Austria,2003,78.6317073170732,8121423.0,2998.27,24350218938.21
Belarus,2003,68.5536585365854,9796749.0,102.82,1007301732.18
Belgium,2003,78.1292682926829,10376133.0,2730.4341967730998,28331348373.465855
Bosnia and Herzegovina,2003,75.782,4178523.0,162.96,680932108.08
Bulgaria,2003,72.0658536585366,7775327.0,190.12,1478245169.24
Croatia,2003,74.6139024390244,4303399.0,496.64,2137240079.36
Cyprus,2003,77.788,999590.0,1110.6499999999999,1110194633.4999998
Czechia,2003,75.1707317073171,10193998.0,621.4405883782999,6334964115.047213
Denmark,2003,77.1439024390244,5390574.0,3498.79,18860486405.46
Estonia,2003,71.3170731707317,1370720.0,357.9101666234,490594623.59402686
Finland,2003,78.3682926829268,5213014.0,2535.58,13218014038.119999
France,2003,79.1146341463415,62249855.0,2916.116730954,181527843664.9605
Germany,2003,78.3804878048781,82534176.0,3058.2103637665,252406872408.12833
Greece,2003,78.8414634146341,10928070.0,1519.4174963388,16604300759.21515
Hungary,2003,72.3,10129552.0,662.51,6710929495.5199995
Iceland,2003,80.9634146341464,289521.0,3721.89,1077565314.69
Ireland,2003,78.1390243902439,3996521.0,2823.6041650426996,11284593341.280615
Italy,2003,79.9829268292683,57313203.0,2098.11,120249404346.33
Latvia,2003,71.2658536585366,2287955.0,272.57,623627894.35
Lithuania,2003,72.0609756097561,3415213.0,328.83,1123024490.79
Luxembourg,2003,77.7268292682927,451630.0,4468.79,2018239627.7
Moldova,2003,67.419,2903198.0,36.86,107011878.28
Monaco,2003,,32374.0,4685.7360888684,151696020.14102557
Netherlands,2003,78.4926829268293,16225302.0,3146.68,51055833297.36
North Macedonia,2003,73.2414634146342,2022725.0,208.54999999999998,421839298.74999994
Norway,2003,79.390243902439,4564855.0,4494.01,20514504018.55
Poland,2003,74.5975609756098,38204570.0,328.83,12562808753.099998
Portugal,2003,77.219512195122,10458821.0,1399.71,14639316341.91
Romania,2003,71.309756097561,21574326.0,139.68,3013501855.6800003
Russian Federation,2003,65.0275609756098,144648618.0,159.07999999999998,23010702151.44
San Marino,2003,,27843.0,2367.0848901349,65906744.59602602
Serbia,2003,72.4365853658537,7480591.0,223.1859939532,1669563137.6923623
Slovakia,2003,73.6048780487805,5373374.0,333.68,1792987436.32
Slovenia,2003,76.8585365853659,1995733.0,1166.9099999999999,2328840795.0299997
Spain,2003,79.619512195122,42187645.0,1591.6901928717,67149660806.852806
Sweden,2003,80.0951219512195,8958229.0,3016.7,27024289424.3
Switzerland,2003,80.5365853658537,7339001.0,4867.9715234375,35726047878.47933
Ukraine,2003,68.2107317073171,48315136.0,66.92999999999999,3233732052.4799995
United Kingdom,2003,78.4463414634146,59647577.0,2701.0033642566,161108306146.7546
