Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2011,78.092,2905195.0,266.5335794103,774332022.2349064
Andorra,2011,,77783.0,3796.5674487335,295308405.8648378
Austria,2011,80.9829268292683,8391643.0,5012.96,42066970693.28
Belarus,2011,70.5536585365854,9461643.0,300.7,2845116050.1
Belgium,2011,80.5853658536585,11038264.0,4782.2368798816005,52787593190.669395
Bosnia and Herzegovina,2011,77.007,3741798.0,443.28999999999996,1658701635.4199998
Bulgaria,2011,74.1634146341463,7348328.0,539.3199999999999,3963100256.9599996
Croatia,2011,76.7756097560976,4280622.0,1098.04,4700294180.88
Cyprus,2011,79.999,1146493.0,2051.5499999999997,2352087714.1499996
Czechia,2011,77.8731707317073,10496088.0,1604.8748278848,16844907422.463715
Denmark,2011,79.8,5570572.0,6244.86,34787442259.92
Estonia,2011,76.2292682926829,1327439.0,1029.327956546,1366370073.3094656
Finland,2011,80.4707317073171,5388272.0,4576.46,24659211277.12
France,2011,82.1146341463415,65340830.0,4783.9215917993,312585407463.08746
Germany,2011,80.4365853658537,80274983.0,4886.3669482434,392253023702.0008
Greece,2011,80.7317073170732,11104899.0,2268.7475878881996,25194212819.99208
Hungary,2011,74.8585365853659,9971727.0,1031.11,10281947426.97
Iceland,2011,82.3585365853659,319014.0,3793.67,1210233841.38
Ireland,2011,80.7463414634146,4580084.0,5379.3912353552,24638063726.790585
Italy,2011,82.1878048780488,59379449.0,3290.24,195372638277.75998
Latvia,2011,73.5756097560976,2059709.0,742.05,1528407063.4499998
Lithuania,2011,73.5634146341464,3028115.0,897.25,2716976183.75
Luxembourg,2011,80.9878048780488,518347.0,6959.75,3607565533.25
Moldova,2011,69.192,2860699.0,208.54999999999998,596598776.4499999
Monaco,2011,,33946.0,8053.829482424299,273395295.6103753
Montenegro,2011,75.9829268292683,620079.0,554.84,344044632.36
Netherlands,2011,81.2048780487805,16693074.0,5395.139999999999,90061471260.35999
North Macedonia,2011,75.1,1937398.0,316.21999999999997,612643995.56
Norway,2011,81.2951219512195,4953088.0,8633.0,42760008704.0
Poland,2011,76.6951219512195,38063255.0,840.02,31973895465.1
Portugal,2011,80.4707317073171,10557560.0,2188.32,23103319699.2
Romania,2011,74.409756097561,20147528.0,414.19,8344904622.32
Russian Federation,2011,69.6839024390244,143018195.0,663.48,94889712018.6
San Marino,2011,,32620.0,4369.491933598601,142532826.87398636
Serbia,2011,74.5365853658537,7236519.0,600.3273992878999,4344280631.167474
Slovakia,2011,75.9585365853659,5398384.0,1311.44,7079656712.96
Slovenia,2011,79.9707317073171,2052843.0,2083.56,4277221561.08
Spain,2011,82.4756097560976,46742697.0,2821.6520873981,131891628560.6669
Sweden,2011,81.8024390243903,9449213.0,6160.47,58211593210.11
Switzerland,2011,82.6951219512195,7912398.0,8864.216171875,70137206309.9114
Ukraine,2011,70.8092682926829,46307853.0,236.68,10960142648.04
United Kingdom,2011,80.9512195121951,63258810.0,4073.1114648486005,257660184263.6793
