Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2016,78.86,2876101,277.04321289,796804261.6361419
Andorra,2016,..,72181,2755.44848633,198891027.19178572
Austria,2016,81.6414634146342,8736668,4710.0,41149706280.0
Belarus,2016,73.8268292682927,9469379,291.0,2755589289.0
Belgium,2016,81.4390243902439,11331422,4542.79492188,51476326319.27932
Bosnia and Herzegovina,2016,76.808,3473003,449.0,1559378347.0
Bulgaria,2016,74.8121951219512,7127822,562.0,4005835964.0
Croatia,2016,78.0219512195122,4106867,841.0,3453875147.0
Cyprus,2016,81.056,1237112,1649.0,2039997688.0
Czechia,2016,79.0268292682927,10566332,1384.66357422,14630815033.515162
Denmark,2016,80.8536585365854,5728010,5624.0,32214328240.0
Estonia,2016,77.6414634146342,1315790,1226.0859375,1613271615.703125
Finland,2016,81.4292682926829,5495303,4109.0,22580200027.0
France,2016,82.5731707317073,66724104,4256.765625,284028872266.125
Germany,2016,80.990243902439,82348669,4746.87011719,390898436066.4705
Greece,2016,81.3878048780488,10775971,1513.25915527,16306836772.674017
Hungary,2016,76.0634146341464,9814023,914.0,8970017022.0
Iceland,2016,82.2048780487805,335439,5016.0,1682562024.0
Ireland,2016,81.6536585365854,4755335,4726.31298828,22475201574.122475
Italy,2016,83.2439024390244,60627498,2700.0,163694244600.0
Latvia,2016,74.580487804878,1959537,875.0,1714594875.0
Lithuania,2016,74.6707317073171,2868231,989.0,2836680459.0
Luxembourg,2016,82.6853658536585,582014,5475.0,3186526650.0
Moldova,2016,69.917,2803186,171.0,479344806.0
Monaco,2016,..,37276,7189.65771484,268001680.97837585
Montenegro,2016,76.4414634146341,622303,596.0,370892588.0
Netherlands,2016,81.5609756097561,17030314,4644.0,79088778216.0
North Macedonia,2016,75.4,1906313,323.0,615739099.0
Norway,2016,82.4073170731707,5234519,7497.0,39243188943.0
Poland,2016,77.8512195121951,37970087,816.0,30983590992.0
Portugal,2016,81.1243902439025,10325452,1875.0,19360222500.0
Romania,2016,75.209756097561,19702267,476.0,9378279092.0
Russian Federation,2016,71.6512195121951,145015460,465.0,67432188900.0
San Marino,2016,..,33101,3656.28491211,121026686.8757531
Serbia,2016,75.6878048780488,7058322,486.42944336,3433375641.5156417
Slovakia,2016,77.1658536585366,5430798,1176.0,6386618448.0
Slovenia,2016,81.1756097560976,2065042,1835.0,3789352070.0
Spain,2016,83.3292682926829,46484062,2376.60107422,110474071683.30908
Sweden,2016,82.3073170731707,9923085,5681.0,56373045885.0
Switzerland,2016,83.6024390243903,8373338,9078.75878906,76019515961.2701
Ukraine,2016,71.4763414634146,45616832,157.0,7161842624.0
United Kingdom,2016,81.1560975609756,65611593,4017.34228516,263584226955.60785
