Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2021,76.463,2811666,395.03143005649997,1110696440.821239
Andorra,2021,..,78364,2980.092736818,233531987.22800577
Austria,2021,81.190243902439,8955797,5529.25,49518840562.25
Belarus,2021,72.3706829268293,9302585,397.8,3700568313.0
Belgium,2021,81.790243902439,11586195,4828.1967285135,55940428794.919464
Bosnia and Herzegovina,2021,75.3,3244907,588.1999999999999,1908654297.3999999
Bulgaria,2021,71.4634146341463,6877743,884.0,6079924812.0
Croatia,2021,76.4243902439025,3878981,1176.3999999999999,4563233248.4
Cyprus,2021,81.203,1317309,2541.5,3347940823.5
Czechia,2021,77.2219512195122,10505772,2123.7391113259996,22311518891.07357
Denmark,2021,81.4048780487805,5856733,6274.7,36749242555.1
Estonia,2021,76.9439024390244,1330932,1780.3276977555,2369495103.429123
Finland,2021,81.8853658536585,5541017,4664.8,25847736101.600002
France,2021,82.3243902439024,67842811,4573.74375,310295632793.6812
Germany,2021,80.790243902439,83196078,5632.1041503885,468568976199.84534
Greece,2021,80.0829268292683,10569207,1568.9092895544998,16582127045.524446
Hungary,2021,74.1634146341463,9709891,1174.7,11406208957.7
Iceland,2021,83.1658536585366,372520,5708.599999999999,2126567671.9999998
Ireland,2021,82.3536585365854,5033164,5749.619970701,28938780250.21333
Italy,2021,82.6463414634146,59133173,2847.5,168381710117.5
Latvia,2021,72.9804878048781,1884490,1613.3,3040247717.0
Lithuania,2021,74.0365853658537,2800839,1580.1499999999999,4425745745.849999
Luxembourg,2021,82.5975609756098,640064,6490.599999999999,4154399398.3999996
Moldova,2021,68.846,2595809,348.5,904639436.5
Monaco,2021,..,38527,7339.1208007855,282754307.091863
Montenegro,2021,73.8243902439024,619211,837.25,518434409.75
Netherlands,2021,81.309756097561,17533044,5558.15,97451288508.59999
North Macedonia,2021,73.2463414634146,1837114,476.0,874466264.0
Norway,2021,83.1634146341463,5408320,7788.55,42122970736.0
Poland,2021,75.5024390243902,36981559,985.15,36432382848.85
Portugal,2021,81.3780487804878,10361831,2334.95,24194357293.449997
Romania,2021,72.809756097561,19122059,818.55,15652361394.449999
Russian Federation,2021,69.900243902439,144746762,795.6,115160523847.2
San Marino,2021,..,34252,3512.1506103505003,120298182.70572534
Serbia,2021,72.780487804878,6834326,781.2927215535,5339609160.523846
Slovakia,2021,74.6146341463415,5447247,1432.25,7801819515.75
Slovenia,2021,80.6756097560976,2108079,2358.75,4972431341.25
Spain,2021,83.2292682926829,47415794,2749.1490234375,130353083770.61368
Sweden,2021,83.0560975609756,10415811,5865.849999999999,61097584954.34999
Switzerland,2021,83.7512195121951,8704546,9262.8326660135,80628753031.61716
Ukraine,2021,69.6478048780488,44298640,312.8,13856614592.0
United Kingdom,2021,80.7,67026292,4877.712133788,326934957771.2175
