Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2014,78.407,2889104,295.12359619,852642762.2469138
Andorra,2014,..,73737,3089.84301758,227835754.58729646
Austria,2014,81.490243902439,8546356,5394.0,46099044264.0
Belarus,2014,72.9707317073171,9448515,438.0,4138449570.0
Belgium,2014,81.2878048780488,11209057,5080.125,56943410692.125
Bosnia and Herzegovina,2014,75.659,3564829,492.0,1753895868.0
Bulgaria,2014,74.4658536585366,7223938,605.0,4370482490.0
Croatia,2014,77.4780487804878,4201598,909.0,3819252582.0
Cyprus,2014,80.771,1201801,1874.0,2252175074.0
Czechia,2014,78.8243902439024,10525347,1516.05627441,15957018359.69247
Denmark,2014,80.7,5643475,6467.0,36496352825.0
Estonia,2014,77.0341463414634,1314545,1287.76123047,1692820086.7081864
Finland,2014,81.1804878048781,5461512,4923.0,26887023576.0
France,2014,82.719512195122,66312067,4980.81494141,330288134109.381
Germany,2014,81.090243902439,80982500,5309.15478516,429948627389.21967
Greece,2014,81.3853658536585,10892413,1700.49438477,18522487143.09575
Hungary,2014,75.7634146341463,9866468,1006.0,9925666808.0
Iceland,2014,82.8609756097561,327386,4488.0,1469308368.0
Ireland,2014,81.3487804878049,4657740,5316.26953125,24761801246.484375
Italy,2014,83.090243902439,60789140,3154.0,191728947560.0
Latvia,2014,74.1243902439024,1993782,857.0,1708671174.0
Lithuania,2014,74.5170731707317,2932367,1021.0,2993946707.0
Luxembourg,2014,82.2292682926829,556319,6547.0,3642220493.0
Moldova,2014,69.031,2857815,231.0,660155265.0
Monaco,2014,..,36128,8682.36914063,313676632.31268066
Montenegro,2014,76.4414634146341,621810,579.0,360027990.0
Netherlands,2014,81.7073170731707,16865008,5602.0,94477774816.0
North Macedonia,2014,75.4512195121951,1917557,339.0,650051823.0
Norway,2014,82.1,5137232,9118.0,46841281376.0
Poland,2014,77.6024390243903,38011735,911.0,34628690585.0
Portugal,2014,81.1219512195122,10401062,2060.0,21426187720.0
Romania,2014,74.909756097561,19908979,503.0,10014216437.0
Russian Federation,2014,70.7436585365854,144237223,740.0,106735545020.0
San Marino,2014,..,32655,4161.48681641,135893351.98986855
Serbia,2014,75.3365853658537,7131787,608.85858154,4342249716.665412
Slovakia,2014,76.8121951219512,5418649,1289.0,6984638561.0
Slovenia,2014,81.0780487804878,2061980,2062.0,4251802760.0
Spain,2014,83.2292682926829,46480882,2679.4765625,124544433923.32812
Sweden,2014,82.2536585365854,9696110,6606.0,64052502660.0
Switzerland,2014,83.1975609756098,8188649,9307.96875,76219688996.71875
Ukraine,2014,71.1865853658537,45972380,213.0,9792116940.0
United Kingdom,2014,81.3048780487805,64602298,4697.76025391,303486107855.6495
