Country,Year,Total,Life_expectancy,Population
Albania,2006,female,79.686,1520970.0
Albania,2006,male,74.243,1471577.0
Albania,2006,total,76.816,2992547.0
Andorra,2006,female,,38002.0
Andorra,2006,male,,41583.0
Andorra,2006,total,,79585.0
Austria,2006,female,82.8,4246626.0
Austria,2006,male,77.1,4022015.0
Austria,2006,total,79.8804878048781,8268641.0
Belarus,2006,female,75.5,5131704.0
Belarus,2006,male,63.6,4473220.0
Belarus,2006,total,69.4048780487805,9604924.0
Belgium,2006,female,82.3,5385326.0
Belgium,2006,male,76.6,5162632.0
Belgium,2006,total,79.380487804878,10547958.0
Bosnia and Herzegovina,2006,female,79.141,2121527.0
Bosnia and Herzegovina,2006,male,73.174,1941745.0
Bosnia and Herzegovina,2006,total,76.247,4063272.0
Bulgaria,2006,female,76.3,3904283.0
Bulgaria,2006,male,69.1,3696739.0
Bulgaria,2006,total,72.6121951219512,7601022.0
Channel Islands,2006,female,82.846,78769.0
Channel Islands,2006,male,78.403,75445.0
Channel Islands,2006,total,80.694,154214.0
Croatia,2006,female,79.33,2238670.0
Croatia,2006,male,72.51,2072489.0
Croatia,2006,total,75.8368292682927,4311159.0
Cyprus,2006,female,80.522,519822.0
Cyprus,2006,male,76.255,534596.0
Cyprus,2006,total,78.371,1054418.0
Czechia,2006,female,79.7,5231488.0
Czechia,2006,male,73.5,5007417.0
Czechia,2006,total,76.5243902439024,10238905.0
Denmark,2006,female,80.4,2746011.0
Denmark,2006,male,75.9,2691261.0
Denmark,2006,total,78.0951219512195,5437272.0
Estonia,2006,female,78.3,720757.0
Estonia,2006,male,67.35,626053.0
Estonia,2006,total,72.6914634146341,1346810.0
Faroe Islands,2006,female,82.2,23229.0
Faroe Islands,2006,male,77.2,25106.0
Faroe Islands,2006,total,79.6390243902439,48335.0
Finland,2006,female,82.8,2688154.0
Finland,2006,male,75.8,2578114.0
Finland,2006,total,79.2146341463415,5266268.0
France,2006,female,84.5,32825830.0
France,2006,male,77.3,30796512.0
France,2006,total,80.8121951219512,63622342.0
Germany,2006,female,82.0,42278226.0
Germany,2006,male,76.4,40098225.0
Germany,2006,total,79.1317073170732,82376451.0
Gibraltar,2006,female,83.911,14814.0
Gibraltar,2006,male,76.853,14780.0
Gibraltar,2006,total,80.393,29594.0
Greece,2006,female,82.0,5592530.0
Greece,2006,male,77.0,5427832.0
Greece,2006,total,79.4390243902439,11020362.0
Hungary,2006,female,77.4,5287731.0
Hungary,2006,male,69.0,4783639.0
Hungary,2006,total,73.0975609756098,10071370.0
