Country,Year,Total,Life_expectancy,Population
Albania,2013,female,80.781,1462516.0
Albania,2013,male,75.786,1432576.0
Albania,2013,total,78.123,2895092.0
Andorra,2013,female,,36953.0
Andorra,2013,male,,38241.0
Andorra,2013,total,,75194.0
Austria,2013,female,83.8,4340495.0
Austria,2013,male,78.6,4139328.0
Austria,2013,total,81.1365853658537,8479823.0
Belarus,2013,female,77.9,5054425.0
Belarus,2013,male,67.3,4388786.0
Belarus,2013,total,72.4707317073171,9443211.0
Belgium,2013,female,83.2,5675983.0
Belgium,2013,male,78.1,5483424.0
Belgium,2013,total,80.5878048780488,11159407.0
Bosnia and Herzegovina,2013,female,78.624,1894411.0
Bosnia and Herzegovina,2013,male,73.945,1716448.0
Bosnia and Herzegovina,2013,total,76.33,3610859.0
Bulgaria,2013,female,78.6,3730010.0
Bulgaria,2013,male,71.3,3535105.0
Bulgaria,2013,total,74.8609756097561,7265115.0
Channel Islands,2013,female,83.659,81851.0
Channel Islands,2013,male,79.31,79926.0
Channel Islands,2013,total,81.516,161777.0
Croatia,2013,female,80.2,2195721.0
Croatia,2013,male,74.2,2038201.0
Croatia,2013,total,77.1268292682927,4233922.0
Cyprus,2013,female,82.405,585352.0
Cyprus,2013,male,78.409,598543.0
Cyprus,2013,total,80.402,1183895.0
Czechia,2013,female,81.3,5348039.0
Czechia,2013,male,75.2,5166233.0
Czechia,2013,total,78.1756097560976,10514272.0
Denmark,2013,female,82.4,2829486.0
Denmark,2013,male,78.3,2785446.0
Denmark,2013,total,80.3,5614932.0
Estonia,2013,female,81.7,702440.0
Estonia,2013,male,72.8,615557.0
Estonia,2013,total,77.1414634146341,1317997.0
Faroe Islands,2013,female,83.9,23400.0
Faroe Islands,2013,male,79.1,24846.0
Faroe Islands,2013,total,81.4414634146341,48246.0
Finland,2013,female,84.1,2765375.0
Finland,2013,male,78.0,2673597.0
Finland,2013,total,80.9756097560976,5438972.0
France,2013,female,85.6,34036175.0
France,2013,male,79.0,31961757.0
France,2013,total,82.219512195122,65997932.0
Germany,2013,female,83.0,41140519.0
Germany,2013,male,78.1,39505086.0
Germany,2013,total,80.490243902439,80645605.0
Gibraltar,2013,female,83.637,16215.0
Gibraltar,2013,male,77.54,16192.0
Gibraltar,2013,total,80.55,32407.0
Greece,2013,female,84.0,5641796.0
Greece,2013,male,78.7,5323415.0
Greece,2013,total,81.2853658536585,10965211.0
Hungary,2013,female,79.1,5183618.0
Hungary,2013,male,72.2,4709464.0
Hungary,2013,total,75.5658536585366,9893082.0
Iceland,2013,female,83.7,161412.0
Iceland,2013,male,80.5,162352.0
Iceland,2013,total,82.0609756097561,323764.0
Ireland,2013,female,83.1,2334083.0
Ireland,2013,male,78.9,2289733.0
Ireland,2013,total,80.9487804878049,4623816.0
Isle of Man,2013,female,81.793,42395.0
Isle of Man,2013,male,77.184,41746.0
Isle of Man,2013,total,79.473,84141.0
Italy,2013,female,85.2,31029952.0
Italy,2013,male,80.3,29203996.0
Italy,2013,total,82.690243902439,60233948.0
Kosovo,2013,female,81.433,924593.0
Kosovo,2013,male,75.876,893526.0
Kosovo,2013,total,78.587,1818119.0
Latvia,2013,female,78.9,1090947.0
Latvia,2013,male,69.3,921700.0
Latvia,2013,total,73.9829268292683,2012647.0
Liechtenstein,2013,female,83.9,18654.0
Liechtenstein,2013,male,80.7,18330.0
Liechtenstein,2013,total,82.2609756097561,36984.0
Lithuania,2013,female,79.6,1595328.0
Lithuania,2013,male,68.5,1362361.0
Lithuania,2013,total,73.9146341463415,2957689.0
Luxembourg,2013,female,83.9,271615.0
Luxembourg,2013,male,79.8,271745.0
Luxembourg,2013,total,81.8,543360.0
Moldova,2013,female,73.586,1529777.0
Moldova,2013,male,64.75,1329781.0
Moldova,2013,total,69.099,2859558.0
Monaco,2013,female,,18103.0
Monaco,2013,male,,17344.0
Monaco,2013,total,,35447.0
Montenegro,2013,female,79.0,322077.0
Montenegro,2013,male,74.1,299130.0
Montenegro,2013,total,76.490243902439,621207.0
Netherlands,2013,female,83.2,8497136.0
Netherlands,2013,male,79.5,8307296.0
Netherlands,2013,total,81.3048780487805,16804432.0
North Macedonia,2013,female,77.5,978108.0
North Macedonia,2013,male,73.4,944608.0
North Macedonia,2013,total,75.4,1922716.0
Norway,2013,female,83.8,2528278.0
Norway,2013,male,79.8,2551345.0
