Country,Year,Total,Life_expectancy,Population
Albania,1971,female,68.136,1080819
Albania,1971,male,63.222,1107034
Albania,1971,total,65.618,2187853
Andorra,1971,female,..,9979
Andorra,1971,male,..,11463
Andorra,1971,total,..,21442
Austria,1971,female,73.7,3963018
Austria,1971,male,66.7,3537464
Austria,1971,total,70.1146341463415,7500482
Belarus,1971,female,74.657,4915123
Belarus,1971,male,67.54,4200453
Belarus,1971,total,71.0117073170732,9115576
Belgium,1971,female,74.4,4940964
Belgium,1971,male,67.88,4732198
Belgium,1971,total,71.0604878048781,9673162
Bosnia and Herzegovina,1971,female,70.168,1994612
Bosnia and Herzegovina,1971,male,64.076,1814764
Bosnia and Herzegovina,1971,total,67.163,3809376
Bulgaria,1971,female,73.24,4269363
Bulgaria,1971,male,68.62,4267032
Bulgaria,1971,total,70.8736585365854,8536395
Channel Islands,1971,female,74.923,64050
Channel Islands,1971,male,68.402,60505
Channel Islands,1971,total,71.685,124555
Croatia,1971,female,72.976,2311307
Croatia,1971,male,65.487,2119968
Croatia,1971,total,69.1401707317073,4431275
Cyprus,1971,female,72.405,329768
Cyprus,1971,male,66.473,324282
Cyprus,1971,total,69.33,654050
Czechia,1971,female,73.37,5069237
Czechia,1971,male,66.16,4757578
Czechia,1971,total,69.6770731707317,9826815
Denmark,1971,female,76.16,2498096
Denmark,1971,male,70.8,2465030
Denmark,1971,total,73.4146341463415,4963126
Estonia,1971,female,74.491,746014
Estonia,1971,male,65.362,630941
Estonia,1971,total,69.8151707317073,1376955
Faroe Islands,1971,female,..,18526
Faroe Islands,1971,male,..,20177
Faroe Islands,1971,total,..,38703
Finland,1971,female,74.32,2385196
Finland,1971,male,65.92,2226928
Finland,1971,total,70.0175609756098,4612124
France,1971,female,75.8,26832207
France,1971,male,68.2,25667346
France,1971,total,71.9073170731707,52499553
Germany,1971,female,73.795,41205798
Germany,1971,male,67.707,37107044
Germany,1971,total,70.676756097561,78312842
Gibraltar,1971,female,72.768,13419
Gibraltar,1971,male,69.2,13601
Gibraltar,1971,total,71.017,27020
Greece,1971,female,75.485,4514003
Greece,1971,male,70.652,4317033
Greece,1971,total,73.0095609756098,8831036
Hungary,1971,female,72.1,5343172
Hungary,1971,male,66.15,5024365
Hungary,1971,total,69.0524390243903,10367537
Iceland,1971,female,76.49,101922
Iceland,1971,male,70.79,104176
Iceland,1971,total,73.5704878048781,206098
Ireland,1971,female,74.181,1489609
Ireland,1971,male,69.29,1502441
Ireland,1971,total,71.6758536585366,2992050
Isle of Man,1971,female,71.465,29903
Isle of Man,1971,male,60.779,26524
Isle of Man,1971,total,65.956,56427
Italy,1971,female,74.88,27780855
Italy,1971,male,68.88,26292635
Italy,1971,total,71.8068292682927,54073490
Kosovo,1971,female,66.353,633938
Kosovo,1971,male,63.413,639083
Kosovo,1971,total,64.874,1273021
Latvia,1971,female,74.8,1289147
Latvia,1971,male,65.75,1087242
Latvia,1971,total,70.1646341463415,2376389
Liechtenstein,1971,female,..,10867
Liechtenstein,1971,male,..,10733
Liechtenstein,1971,total,..,21600
Lithuania,1971,female,76.13,1685907
Lithuania,1971,male,67.55,1493134
Lithuania,1971,total,71.7353658536585,3179041
Luxembourg,1971,female,72.881,174383
Luxembourg,1971,male,65.685,168038
Luxembourg,1971,total,69.195243902439,342421
Moldova,1971,female,67.292,1330420
Moldova,1971,male,59.935,1130191
Moldova,1971,total,63.799,2460611
Monaco,1971,female,..,13347
Monaco,1971,male,..,11229
Monaco,1971,total,..,24576
Montenegro,1971,female,72.568,269569
Montenegro,1971,male,66.637,245880
Montenegro,1971,total,69.5301707317073,515449
Netherlands,1971,female,76.77,6607949
Netherlands,1971,male,70.99,6586548
Netherlands,1971,total,73.809512195122,13194497
North Macedonia,1971,female,66.377,863878
North Macedonia,1971,male,62.942,827338
North Macedonia,1971,total,64.6176097560976,1691216
Norway,1971,female,77.36,1961795
Norway,1971,male,71.15,1941244
Norway,1971,total,74.1792682926829,3903039
Poland,1971,female,73.3,16854198
Poland,1971,male,66.1,15929302
Poland,1971,total,69.6121951219512,32783500
Portugal,1971,female,70.1,4535900
Portugal,1971,male,63.6,4107856
Portugal,1971,total,66.7707317073171,8643756
Romania,1971,female,70.85,10515565
Romania,1971,male,66.27,9946002
Romania,1971,total,68.5041463414634,20461567
Russian Federation,1971,female,73.77,71440342
Russian Federation,1971,male,63.24,59714658
Russian Federation,1971,total,68.3765853658537,131155000
San Marino,1971,female,..,9022
San Marino,1971,male,..,9397
San Marino,1971,total,..,18419
Serbia,1971,female,69.094,3717787
Serbia,1971,male,64.087,3493929
Serbia,1971,total,66.5294390243903,7211716
Slovakia,1971,female,73.262,2308848
Slovakia,1971,male,66.625,2248601
Slovakia,1971,total,69.8625609756098,4557449
Slovenia,1971,female,72.65,913131
Slovenia,1971,male,65.2,825204
Slovenia,1971,total,68.8341463414634,1738335
Spain,1971,female,74.56,17513587
Spain,1971,male,68.84,16710903
Spain,1971,total,71.630243902439,34224490
Sweden,1971,female,77.4,4056075
Sweden,1971,male,71.98,4042259
Sweden,1971,total,74.6239024390244,8098334
Switzerland,1971,female,76.25,3178136
Switzerland,1971,male,70.16,3035263
Switzerland,1971,total,73.1307317073171,6213399
Ukraine,1971,female,73.101,26080637
Ukraine,1971,male,65.168,21492650
Ukraine,1971,total,69.037756097561,47573287
United Kingdom,1971,female,75.5,28738819
United Kingdom,1971,male,69.2,27157404
United Kingdom,1971,total,72.2731707317073,55896223
