Country,Year,Total,Life_expectancy,Population
Albania,2001,female,78.618,1568260.0
Albania,2001,male,72.921,1491913.0
Albania,2001,total,75.639,3060173.0
Andorra,2001,female,,31636.0
Andorra,2001,male,,34216.0
Andorra,2001,total,,65852.0
Austria,2001,female,81.7,4148251.0
Austria,2001,male,75.6,3894042.0
Austria,2001,total,78.5756097560976,8042293.0
Belarus,2001,female,74.5,5281537.0
Belarus,2001,male,62.8,4647012.0
Belarus,2001,total,68.5073170731707,9928549.0
Belgium,2001,female,81.2,5256453.0
Belgium,2001,male,74.9,5030117.0
Belgium,2001,total,77.9731707317073,10286570.0
Bosnia and Herzegovina,2001,female,77.988,2179564.0
Bosnia and Herzegovina,2001,male,71.932,1999874.0
Bosnia and Herzegovina,2001,total,75.06,4179438.0
Bulgaria,2001,female,75.2,4108648.0
Bulgaria,2001,male,68.5,3900494.0
Bulgaria,2001,total,71.7682926829268,8009142.0
Channel Islands,2001,female,81.499,76769.0
Channel Islands,2001,male,76.907,72081.0
Channel Islands,2001,total,79.277,148850.0
Croatia,2001,female,78.17,2233007.0
Croatia,2001,male,71.03,2066635.0
Croatia,2001,total,74.5129268292683,4299642.0
Cyprus,2001,female,79.02,474258.0
Cyprus,2001,male,74.977,489869.0
Cyprus,2001,total,76.989,964127.0
Czechia,2001,female,78.4,5240000.0
Czechia,2001,male,72.1,4976605.0
Czechia,2001,total,75.1731707317073,10216605.0
Denmark,2001,female,79.2,2709550.0
Denmark,2001,male,74.5,2649233.0
Denmark,2001,total,76.7926829268293,5358783.0
Estonia,2001,female,76.2,741421.0
Estonia,2001,male,64.6,646694.0
Estonia,2001,total,70.2585365853659,1388115.0
Faroe Islands,2001,female,81.1,22499.0
Faroe Islands,2001,male,76.3,24136.0
Faroe Islands,2001,total,78.6414634146341,46635.0
Finland,2001,female,81.5,2654451.0
Finland,2001,male,74.6,2533557.0
Finland,2001,total,77.9658536585366,5188008.0
France,2001,female,83.0,31609245.0
France,2001,male,75.5,29755132.0
France,2001,total,79.1585365853659,61364377.0
Germany,2001,female,81.3,42269743.0
Germany,2001,male,75.5,40080182.0
Germany,2001,total,78.3292682926829,82349925.0
Gibraltar,2001,female,83.324,13884.0
Gibraltar,2001,male,78.519,13773.0
Gibraltar,2001,total,81.087,27657.0
Greece,2001,female,81.0,5501833.0
Greece,2001,male,75.9,5360299.0
Greece,2001,total,78.3878048780488,10862132.0
Hungary,2001,female,76.5,5341311.0
Hungary,2001,male,68.2,4846265.0
Hungary,2001,total,72.2487804878049,10187576.0
Iceland,2001,female,83.2,142320.0
Iceland,2001,male,78.3,142648.0
Iceland,2001,total,80.690243902439,284968.0
Ireland,2001,female,79.9,1944105.0
Ireland,2001,male,74.5,1922138.0
Ireland,2001,total,77.1341463414634,3866243.0
Isle of Man,2001,female,77.521,39016.0
Isle of Man,2001,male,73.425,37460.0
Isle of Man,2001,total,75.51,76476.0
Italy,2001,female,83.2,29385246.0
Italy,2001,male,77.2,27588854.0
Italy,2001,total,80.1268292682927,56974100.0
Kosovo,2001,female,76.109,903646.0
Kosovo,2001,male,72.689,916363.0
Kosovo,2001,total,74.394,1820009.0
Latvia,2001,female,76.6,1262964.0
Latvia,2001,male,65.2,1074206.0
Latvia,2001,total,70.7609756097561,2337170.0
Liechtenstein,2001,female,82.4,16830.0
Liechtenstein,2001,male,76.3,16364.0
Liechtenstein,2001,total,79.2756097560976,33194.0
Lithuania,2001,female,77.6,1849114.0
Lithuania,2001,male,66.0,1621704.0
Lithuania,2001,total,71.6585365853659,3470818.0
Luxembourg,2001,female,81.0,224033.0
Luxembourg,2001,male,74.8,217492.0
Luxembourg,2001,total,77.8243902439025,441525.0
Moldova,2001,female,70.466,1566624.0
Moldova,2001,male,63.035,1351511.0
Moldova,2001,total,66.787,2918135.0
Monaco,2001,female,,16682.0
Monaco,2001,male,,15765.0
Monaco,2001,total,,32447.0
Montenegro,2001,female,77.013,316469.0
Montenegro,2001,male,71.266,290920.0
Montenegro,2001,total,74.0694146341464,607389.0
Netherlands,2001,female,80.7,8120703.0
Netherlands,2001,male,75.8,7925477.0
Netherlands,2001,total,78.190243902439,16046180.0
North Macedonia,2001,female,76.1,1039321.0
North Macedonia,2001,male,70.9,995561.0
North Macedonia,2001,total,73.4365853658537,2034882.0
Norway,2001,female,81.5,2277141.0
Norway,2001,male,76.2,2236610.0
Norway,2001,total,78.7853658536585,4513751.0
Poland,2001,female,78.4,19716651.0
Poland,2001,male,70.2,18531425.0
Poland,2001,total,74.2,38248076.0
Portugal,2001,female,80.4,5359229.0
Portugal,2001,male,73.4,5003493.0
Portugal,2001,total,76.8146341463415,10362722.0
Romania,2001,female,74.9,11513407.0
Romania,2001,male,67.6,10618563.0
Romania,2001,total,71.1609756097561,22131970.0
Russian Federation,2001,female,72.17,77823540.0
Russian Federation,2001,male,58.92,68152942.0
Russian Federation,2001,total,65.3834146341463,145976482.0
San Marino,2001,female,,14034.0
San Marino,2001,male,,13109.0
San Marino,2001,total,,27143.0
Serbia,2001,female,75.0,3947829.0
Serbia,2001,male,69.6,3555604.0
