Country,Year,Total,Life_expectancy,Population
Albania,1963,female,60.831,873289.0
Albania,1963,male,55.071,889332.0
Albania,1963,total,57.844,1762621.0
Andorra,1963,female,,5766.0
Andorra,1963,male,,6149.0
Andorra,1963,total,,11915.0
Austria,1963,female,72.65,3825240.0
Austria,1963,male,66.39,3350571.0
Austria,1963,total,69.4436585365854,7175811.0
Belarus,1963,female,73.121,4621177.0
Belarus,1963,male,66.461,3816055.0
Belarus,1963,total,69.7097804878049,8437232.0
Belgium,1963,female,73.14,4743439.0
Belgium,1963,male,67.11,4546331.0
Belgium,1963,total,70.0514634146342,9289770.0
Bosnia and Herzegovina,1963,female,65.845,1822670.0
Bosnia and Herzegovina,1963,male,60.661,1639272.0
Bosnia and Herzegovina,1963,total,63.274,3461942.0
Bulgaria,1963,female,72.02,4042651.0
Bulgaria,1963,male,68.68,4035494.0
Bulgaria,1963,total,70.3092682926829,8078145.0
Channel Islands,1963,female,73.536,58824.0
Channel Islands,1963,male,67.043,55410.0
Channel Islands,1963,total,70.305,114234.0
Croatia,1963,female,69.804,2231548.0
Croatia,1963,male,64.048,1994127.0
Croatia,1963,total,66.8558048780488,4225675.0
Cyprus,1963,female,66.875,308828.0
Cyprus,1963,male,58.151,298424.0
Cyprus,1963,total,62.282,607252.0
Czechia,1963,female,73.48,4982129.0
Czechia,1963,male,67.28,4688556.0
Czechia,1963,total,70.3043902439025,9670685.0
Denmark,1963,female,74.48,2361602.0
Denmark,1963,male,70.42,2322881.0
Denmark,1963,total,72.4004878048781,4684483.0
Estonia,1963,female,73.468,696513.0
Estonia,1963,male,65.155,562344.0
Estonia,1963,total,69.2101219512195,1258857.0
Faroe Islands,1963,female,,16951.0
Faroe Islands,1963,male,,18440.0
Faroe Islands,1963,total,,35391.0
Finland,1963,female,72.68,2340845.0
Finland,1963,male,65.52,2182464.0
Finland,1963,total,69.0126829268293,4523309.0
France,1963,female,74.1,25089970.0
France,1963,male,67.1,23787597.0
France,1963,total,70.5146341463415,48877567.0
Germany,1963,female,72.725,39752698.0
Germany,1963,male,67.237,34961655.0
Germany,1963,total,69.9140731707317,74714353.0
Gibraltar,1963,female,70.011,11712.0
Gibraltar,1963,male,68.34,11041.0
Gibraltar,1963,total,69.257,22753.0
Greece,1963,female,72.772,4319420.0
Greece,1963,male,68.552,4160205.0
Greece,1963,total,70.6105365853659,8479625.0
Hungary,1963,female,71.22,5213280.0
Hungary,1963,male,66.64,4874667.0
Hungary,1963,total,68.8741463414634,10087947.0
Iceland,1963,female,76.07,91789.0
Iceland,1963,male,70.16,93864.0
Iceland,1963,total,73.0429268292683,185653.0
Ireland,1963,female,72.263,1419311.0
Ireland,1963,male,68.294,1433339.0
Ireland,1963,total,70.2300975609756,2852650.0
Isle of Man,1963,female,69.211,26602.0
Isle of Man,1963,male,58.037,22549.0
Isle of Man,1963,total,63.522,49151.0
Italy,1963,female,72.06,26397921.0
Italy,1963,male,66.57,24854079.0
Italy,1963,total,69.2480487804878,51252000.0
Kosovo,1963,female,63.945,525249.0
Kosovo,1963,male,60.943,537488.0
Kosovo,1963,total,62.44,1062737.0
Latvia,1963,female,73.65,1222005.0
Latvia,1963,male,66.19,988914.0
Latvia,1963,total,69.8290243902439,2210919.0
Liechtenstein,1963,female,,9223.0
Liechtenstein,1963,male,,8870.0
Liechtenstein,1963,total,,18093.0
Lithuania,1963,female,73.8,1553449.0
Lithuania,1963,male,66.78,1345501.0
Lithuania,1963,total,70.2043902439024,2898950.0
Luxembourg,1963,female,71.749,164337.0
Luxembourg,1963,male,65.839,159763.0
Luxembourg,1963,total,68.7219268292683,324100.0
Moldova,1963,female,66.057,1185541.0
Moldova,1963,male,58.212,1003354.0
Moldova,1963,total,62.355,2188895.0
Monaco,1963,female,,12283.0
Monaco,1963,male,,10102.0
Monaco,1963,total,,22385.0
Montenegro,1963,female,69.222,270746.0
Montenegro,1963,male,64.525,242663.0
Montenegro,1963,total,66.8162195121951,513409.0
Netherlands,1963,female,75.77,6004440.0
Netherlands,1963,male,71.02,5961526.0
Netherlands,1963,total,73.3370731707317,11965966.0
North Macedonia,1963,female,57.798,764891.0
North Macedonia,1963,male,55.653,723846.0
North Macedonia,1963,total,56.6993414634146,1488737.0
Norway,1963,female,75.49,1839822.0
Norway,1963,male,70.78,1826715.0
Norway,1963,total,73.0775609756098,3666537.0
Poland,1963,female,71.5,15825768.0
Poland,1963,male,65.4,14886232.0
Poland,1963,total,68.3756097560976,30712000.0
Portugal,1963,female,67.817,4712510.0
Portugal,1963,male,61.904,4317845.0
Portugal,1963,total,64.7883902439024,9030355.0
Romania,1963,female,68.827,9654705.0
Romania,1963,male,65.4,9143145.0
Romania,1963,total,67.0717073170732,18797850.0
Russian Federation,1963,female,72.097,67986005.0
Russian Federation,1963,male,63.624,55973995.0
Russian Federation,1963,total,67.7571707317073,123960000.0
San Marino,1963,female,,8155.0
San Marino,1963,male,,8425.0
San Marino,1963,total,,16580.0
Serbia,1963,female,66.578,3524627.0
Serbia,1963,male,63.287,3263323.0
Serbia,1963,total,64.8923658536585,6787950.0
Slovakia,1963,female,73.199,2163702.0
Slovakia,1963,male,68.19,2118315.0
Slovakia,1963,total,70.6334146341463,4282017.0
Slovenia,1963,female,71.9,860777.0
Slovenia,1963,male,65.5,756194.0
Slovenia,1963,total,68.6219512195122,1616971.0
Spain,1963,female,72.36,16067621.0
Spain,1963,male,67.13,15229030.0
Spain,1963,total,69.6812195121951,31296651.0
Sweden,1963,female,75.64,3810336.0
Sweden,1963,male,71.57,3793992.0
Sweden,1963,total,73.5553658536585,7604328.0
Switzerland,1963,female,74.23,2925635.0
Switzerland,1963,male,68.29,2768612.0
Switzerland,1963,total,71.1875609756098,5694247.0
Ukraine,1963,female,73.232,24552160.0
Ukraine,1963,male,66.507,19910212.0
Ukraine,1963,total,69.7874878048781,44462372.0
United Kingdom,1963,female,73.9,27637673.0
United Kingdom,1963,male,67.9,26012327.0
United Kingdom,1963,total,70.8268292682927,53650000.0
