Country,Year,Total,Life_expectancy,Population
Albania,1964,female,61.851,898281
Albania,1964,male,56.313,915854
Albania,1964,total,58.983,1814135
Andorra,1964,female,..,6144
Andorra,1964,male,..,6620
Andorra,1964,total,..,12764
Austria,1964,female,73.2,3847021
Austria,1964,male,66.8,3376780
Austria,1964,total,69.9219512195122,7223801
Belarus,1964,female,74.2,4657004
Belarus,1964,male,67.209,3867220
Belarus,1964,total,70.619243902439,8524224
Belgium,1964,female,73.9,4788410
Belgium,1964,male,67.76,4589703
Belgium,1964,total,70.7551219512195,9378113
Bosnia and Herzegovina,1964,female,66.579,1847187
Bosnia and Herzegovina,1964,male,61.257,1666254
Bosnia and Herzegovina,1964,total,63.948,3513441
Bulgaria,1964,female,72.96,4075166
Bulgaria,1964,male,69.37,4069174
Bulgaria,1964,total,71.1212195121951,8144340
Channel Islands,1964,female,75.413,59522
Channel Islands,1964,male,69.422,56039
Channel Islands,1964,total,72.476,115561
Croatia,1964,female,70.345,2241355
Croatia,1964,male,64.385,2011521
Croatia,1964,total,67.2923170731707,4252876
Cyprus,1964,female,67.364,311288
Cyprus,1964,male,58.669,301233
Cyprus,1964,total,62.79,612521
Czechia,1964,female,73.63,5011630
Czechia,1964,male,67.44,4716174
Czechia,1964,total,70.459512195122,9727804
Denmark,1964,female,74.79,2380845
Denmark,1964,male,70.29,2341227
Denmark,1964,total,72.4851219512195,4722072
Estonia,1964,female,74.076,704303
Estonia,1964,male,66.23,572783
Estonia,1964,total,70.0573170731707,1277086
Faroe Islands,1964,female,..,17145
Faroe Islands,1964,male,..,18702
Faroe Islands,1964,total,..,35847
Finland,1964,female,72.96,2352957
Finland,1964,male,65.66,2195586
Finland,1964,total,69.2209756097561,4548543
France,1964,female,74.3,25353223
France,1964,male,67.2,24048269
France,1964,total,70.6634146341463,49401492
Germany,1964,female,73.352,39981003
Germany,1964,male,67.658,35337334
Germany,1964,total,70.4355609756098,75318337
Gibraltar,1964,female,72.359,11919
Gibraltar,1964,male,67.832,11396
Gibraltar,1964,total,70.168,23315
Greece,1964,female,72.779,4335508
Greece,1964,male,68.465,4174921
Greece,1964,total,70.5693902439025,8510429
Hungary,1964,female,71.86,5227476
Hungary,1964,male,67.02,4892359
Hungary,1964,total,69.3809756097561,10119835
Iceland,1964,female,76.41,93454
Iceland,1964,male,70.81,95529
Iceland,1964,total,73.5417073170732,188983
Ireland,1964,female,72.593,1426236
Ireland,1964,male,68.487,1440314
Ireland,1964,total,70.4899268292683,2866550
Isle of Man,1964,female,70.427,26832
Isle of Man,1964,male,59.429,22793
Isle of Man,1964,total,64.838,49625
Italy,1964,female,73.18,26606982
Italy,1964,male,67.58,25068368
Italy,1964,total,70.3117073170732,51675350
Kosovo,1964,female,64.153,538506
Kosovo,1964,male,61.315,551764
Kosovo,1964,total,62.734,1090270
Latvia,1964,female,74.89,1234904
Latvia,1964,male,67.35,1005719
Latvia,1964,total,71.0280487804878,2240623
Liechtenstein,1964,female,..,9544
Liechtenstein,1964,male,..,9211
Liechtenstein,1964,total,..,18755
Lithuania,1964,female,74.91,1570260
Lithuania,1964,male,68.27,1364940
Lithuania,1964,total,71.5090243902439,2935200
Luxembourg,1964,female,73.08,166270
Luxembourg,1964,male,65.879,161480
Luxembourg,1964,total,69.3916829268293,327750
Moldova,1964,female,66.455,1206493
Moldova,1964,male,58.719,1021507
Moldova,1964,total,62.81,2228000
Monaco,1964,female,..,12428
Monaco,1964,male,..,10258
Monaco,1964,total,..,22686
Montenegro,1964,female,69.606,274692
Montenegro,1964,male,64.812,247061
Montenegro,1964,total,67.1505365853659,521753
Netherlands,1964,female,76.26,6083628
Netherlands,1964,male,71.27,6043492
Netherlands,1964,total,73.7041463414634,12127120
North Macedonia,1964,female,60.249,776102
North Macedonia,1964,male,57.783,734798
North Macedonia,1964,total,58.9859268292683,1510900
Norway,1964,female,76.08,1853726
Norway,1964,male,71.23,1840613
Norway,1964,total,73.5958536585366,3694339
Poland,1964,female,71.6,16037342
Poland,1964,male,65.8,15102108
Poland,1964,total,68.6292682926829,31139450
Portugal,1964,female,67.991,4716894
Portugal,1964,male,62.119,4318471
Portugal,1964,total,64.9833902439024,9035365
Romania,1964,female,69.688,9714062
Romania,1964,male,66.09,9205064
Romania,1964,total,67.8451219512195,18919126
Russian Federation,1964,female,72.686,68627841
Russian Federation,1964,male,64.254,56717159
Russian Federation,1964,total,68.3671707317073,125345000
San Marino,1964,female,..,8347
San Marino,1964,male,..,8630
San Marino,1964,total,..,16977
Serbia,1964,female,66.639,3544100
Serbia,1964,male,63.022,3288755
Serbia,1964,total,64.7863902439024,6832855
Slovakia,1964,female,73.482,2186752
Slovakia,1964,male,68.675,2140589
Slovakia,1964,total,71.0198780487805,4327341
Slovenia,1964,female,72.3,867068
Slovenia,1964,male,65.2,765046
Slovenia,1964,total,68.6634146341463,1632114
Spain,1964,female,73.14,16220330
Spain,1964,male,67.79,15388865
Spain,1964,total,70.399756097561,31609195
Sweden,1964,female,75.91,3838044
Sweden,1964,male,71.66,3823310
Sweden,1964,total,73.7331707317073,7661354
Switzerland,1964,female,75.11,2971496
Switzerland,1964,male,69.19,2817732
Switzerland,1964,total,72.0778048780488,5789228
Ukraine,1964,female,73.565,24783482
Ukraine,1964,male,67.006,20167674
Ukraine,1964,total,70.205512195122,44951156
United Kingdom,1964,female,74.8,27802667
United Kingdom,1964,male,68.6,26197333
United Kingdom,1964,total,71.6243902439024,54000000
