Country,Year,Total,Life_expectancy,Population
Albania,1984,female,74.41,1435975
Albania,1984,male,68.705,1468454
Albania,1984,total,71.502,2904429
Andorra,1984,female,..,19674
Andorra,1984,male,..,22599
Andorra,1984,total,..,42273
Austria,1984,female,77.3,3975523
Austria,1984,male,70.1,3585911
Austria,1984,total,73.6121951219512,7561434
Belarus,1984,female,74.553,5289433
Belarus,1984,male,64.811,4620567
Belarus,1984,total,69.5631951219512,9910000
Belgium,1984,female,77.98,5042070
Belgium,1984,male,71,4813302
Belgium,1984,total,74.4048780487805,9855372
Bosnia and Herzegovina,1984,female,74.13,2206149
Bosnia and Herzegovina,1984,male,67.842,2089387
Bosnia and Herzegovina,1984,total,71.036,4295536
Bulgaria,1984,female,74.66,4508111
Bulgaria,1984,male,68.49,4452568
Bulgaria,1984,total,71.499756097561,8960679
Channel Islands,1984,female,78.684,69647
Channel Islands,1984,male,73.248,65080
Channel Islands,1984,total,76.076,134727
Croatia,1984,female,74.27,2433740
Croatia,1984,male,66.36,2246545
Croatia,1984,total,70.2185365853659,4680285
Cyprus,1984,female,74.431,354725
Cyprus,1984,male,70.151,364609
Cyprus,1984,total,72.255,719334
Czechia,1984,female,74.51,5321149
Czechia,1984,male,67.34,5009064
Czechia,1984,total,70.8375609756098,10330213
Denmark,1984,female,77.62,2594166
Denmark,1984,male,71.65,2517453
Denmark,1984,total,74.5621951219512,5111619
Estonia,1984,female,74.4,812733
Estonia,1984,male,64.4,705884
Estonia,1984,total,69.2780487804878,1518617
Faroe Islands,1984,female,..,21597
Faroe Islands,1984,male,..,23544
Faroe Islands,1984,total,..,45141
Finland,1984,female,78.76,2518587
Finland,1984,male,70.48,2363216
Finland,1984,total,74.5190243902439,4881803
France,1984,female,79.2,28910672
France,1984,male,71,27472413
France,1984,total,75,56383085
Germany,1984,female,77.357,40701232
Germany,1984,male,70.944,37157453
Germany,1984,total,74.0722926829268,77858685
Gibraltar,1984,female,78.094,14120
Gibraltar,1984,male,72.456,14523
Gibraltar,1984,total,75.385,28643
Greece,1984,female,78.425,5031896
Greece,1984,male,73.25,4863905
Greece,1984,total,75.7743902439024,9895801
Hungary,1984,female,73.19,5519042
Hungary,1984,male,65.06,5149053
Hungary,1984,total,69.0258536585366,10668095
Iceland,1984,female,80.45,119010
Iceland,1984,male,74.84,120501
Iceland,1984,total,77.5765853658537,239511
Ireland,1984,female,76.552,1763863
Ireland,1984,male,70.913,1768560
Ireland,1984,total,73.6637317073171,3532423
Isle of Man,1984,female,74.717,33648
Isle of Man,1984,male,65.268,30880
Isle of Man,1984,total,69.88,64528
Italy,1984,female,78.77,29072362
Italy,1984,male,72.17,27504356
Italy,1984,total,75.389512195122,56576718
Kosovo,1984,female,70.588,868096
Kosovo,1984,male,67.477,888722
Kosovo,1984,total,68.997,1756818
Latvia,1984,female,74.5,1379394
Latvia,1984,male,64.08,1182653
Latvia,1984,total,69.1629268292683,2562047
Liechtenstein,1984,female,..,13394
Liechtenstein,1984,male,..,13202
Liechtenstein,1984,total,..,26596
Lithuania,1984,female,75.57,1855491
Lithuania,1984,male,65.32,1658714
Lithuania,1984,total,70.32,3514205
Luxembourg,1984,female,76.656,188056
Luxembourg,1984,male,69.622,177942
Luxembourg,1984,total,73.0532195121951,365998
Moldova,1984,female,69.178,1510056
Moldova,1984,male,61.92,1310462
Moldova,1984,total,65.68,2820518
Monaco,1984,female,..,15021
Monaco,1984,male,..,13335
Monaco,1984,total,..,28356
Montenegro,1984,female,76.663,309015
Montenegro,1984,male,69.059,291869
Montenegro,1984,total,72.7682682926829,600884
Netherlands,1984,female,79.67,7303255
Netherlands,1984,male,72.96,7120956
Netherlands,1984,total,76.2331707317073,14424211
North Macedonia,1984,female,72.237,1020192
North Macedonia,1984,male,67.912,983207
North Macedonia,1984,total,70.021756097561,2003399
Norway,1984,female,79.61,2092287
Norway,1984,male,73,2047812
Norway,1984,total,76.2243902439024,4140099
Poland,1984,female,75,18909056
Poland,1984,male,66.8,17995078
Poland,1984,total,70.8,36904134
Portugal,1984,female,76.1,5175984
Portugal,1984,male,69.1,4820248
Portugal,1984,total,72.5146341463415,9996232
Romania,1984,female,72.65,11653902
Romania,1984,male,66.81,10986645
Romania,1984,total,69.6587804878049,22640547
Russian Federation,1984,female,72.97,76571534
Russian Federation,1984,male,61.71,66173466
Russian Federation,1984,total,67.2026829268293,142745000
San Marino,1984,female,..,11255
San Marino,1984,male,..,11091
San Marino,1984,total,..,22346
Serbia,1984,female,71.514,4042751
Serbia,1984,male,65.392,3770798
Serbia,1984,total,68.3783414634146,7813549
Slovakia,1984,female,74.91,2612956
Slovakia,1984,male,66.79,2514141
Slovakia,1984,total,70.7509756097561,5127097
Slovenia,1984,female,75,996275
Slovenia,1984,male,67,935879
Slovenia,1984,total,70.9024390243903,1932154
Spain,1984,female,79.64,19505861
Spain,1984,male,73.11,18824503
Spain,1984,total,76.2953658536586,38330364
Sweden,1984,female,79.93,4218162
Sweden,1984,male,73.85,4118443
Sweden,1984,total,76.8158536585366,8336605
Switzerland,1984,female,80.03,3304157
Switzerland,1984,male,73.35,3137708
Switzerland,1984,total,76.6085365853659,6441865
Ukraine,1984,female,73.596,27534508
Ukraine,1984,male,63.658,23353091
Ukraine,1984,total,68.5058048780488,50887599
United Kingdom,1984,female,77.8,28923076
United Kingdom,1984,male,71.9,27498996
United Kingdom,1984,total,74.7780487804878,56422072
