Country,Year,Total,Life_expectancy,Population
Albania,2022,total,76.833,2777689
Albania,2023,female,..,1388342
Albania,2023,male,..,1357630
Albania,2023,total,..,2745972
Andorra,1960,female,..,4692
Andorra,1960,male,..,4818
Andorra,1960,total,..,9510
Andorra,1961,female,..,5035
Andorra,1961,male,..,5248
Andorra,1961,total,..,10283
Andorra,1962,female,..,5394
Andorra,1962,male,..,5692
Andorra,1962,total,..,11086
Andorra,1963,female,..,5766
Andorra,1963,male,..,6149
Andorra,1963,total,..,11915
Andorra,1964,female,..,6144
Andorra,1964,male,..,6620
Andorra,1964,total,..,12764
Andorra,1965,female,..,6532
Andorra,1965,male,..,7102
Andorra,1965,total,..,13634
Andorra,1966,female,..,6973
Andorra,1966,male,..,7653
Andorra,1966,total,..,14626
Andorra,1967,female,..,7504
Andorra,1967,male,..,8333
Andorra,1967,total,..,15837
Andorra,1968,female,..,8089
Andorra,1968,male,..,9087
Andorra,1968,total,..,17176
Andorra,1969,female,..,8697
Andorra,1969,male,..,9858
Andorra,1969,total,..,18555
Andorra,1970,female,..,9328
Andorra,1970,male,..,10649
Andorra,1970,total,..,19977
Andorra,1971,female,..,9979
Andorra,1971,male,..,11463
Andorra,1971,total,..,21442
Andorra,1972,female,..,10650
Andorra,1972,male,..,12307
Andorra,1972,total,..,22957
Andorra,1973,female,..,11345
Andorra,1973,male,..,13178
Andorra,1973,total,..,24523
Andorra,1974,female,..,12060
Andorra,1974,male,..,14070
Andorra,1974,total,..,26130
Andorra,1975,female,..,12797
Andorra,1975,male,..,14976
Andorra,1975,total,..,27773
Andorra,1976,female,..,13546
Andorra,1976,male,..,15890
Andorra,1976,total,..,29436
Andorra,1977,female,..,14300
Andorra,1977,male,..,16797
Andorra,1977,total,..,31097
Andorra,1978,female,..,15044
Andorra,1978,male,..,17691
Andorra,1978,total,..,32735
Andorra,1979,female,..,15756
Andorra,1979,male,..,18550
Andorra,1979,total,..,34306
Andorra,1980,female,..,16419
Andorra,1980,male,..,19363
Andorra,1980,total,..,35782
Andorra,1981,female,..,17041
Andorra,1981,male,..,20128
